"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C160","CAPC0402(1005)60_N","3344.488mil","3451.773mil","3344.488mil","3451.773mil","3326.773mil","3451.773mil","B","360.00","CAP_0402"
"C161","CAPC0402(1005)60_N","3269.685mil","3433.072mil","3269.685mil","3433.072mil","3269.685mil","3450.788mil","B","270.00","CAP_0402"
"C162","CAPC0402(1005)60_N","3062.992mil","3451.773mil","3062.992mil","3451.773mil","3045.276mil","3451.773mil","T","360.00","CAP_0402"
"C163","CAPC0402(1005)60_N","2974.41mil","3451.773mil","2974.41mil","3451.773mil","2956.694mil","3451.773mil","T","360.00","CAP_0402"
"C164","CAPC0402(1005)60_N","3195.867mil","3451.773mil","3195.867mil","3451.773mil","3213.582mil","3451.773mil","B","180.00","CAP_0402"
"C165","CAPC0402(1005)60_N","3208.662mil","3328.742mil","3208.662mil","3328.742mil","3190.946mil","3328.742mil","B","360.00","CAP_0402"
"C166","CAPC0402(1005)60_N","3334.646mil","3328.742mil","3334.646mil","3328.742mil","3316.93mil","3328.742mil","B","360.00","CAP_0402"
"C167","CAPC0402(1005)60_N","3413.386mil","3312.009mil","3413.386mil","3312.009mil","3413.386mil","3294.293mil","B","90.00","CAP_0402"
"C168","CAPC0402(1005)60_N","3362.205mil","3450.789mil","3362.205mil","3450.789mil","3344.489mil","3450.789mil","T","360.00","CAP_0402"
"C169","CAPC0402(1005)60_N","3442.914mil","3396.655mil","3442.914mil","3396.655mil","3425.198mil","3396.655mil","B","360.00","CAP_0402"
"C170","CAPC0402(1005)60_N","3464.567mil","3218.505mil","3464.567mil","3218.505mil","3464.567mil","3236.221mil","B","270.00","CAP_0402"
"C171","CAPC0402(1005)60_N","3216.536mil","3068.899mil","3216.536mil","3068.899mil","3234.252mil","3068.899mil","B","180.00","CAP_0402"
"C172","CAPC0402(1005)60_N","3304.134mil","3068.899mil","3304.134mil","3068.899mil","3286.418mil","3068.899mil","B","360.00","CAP_0402"
"C173","CAPC0402(1005)60_N","2967.52mil","3076.773mil","2967.52mil","3076.773mil","2949.804mil","3076.773mil","B","360.00","CAP_0402"
"C174","CAPC0402(1005)60_N","3385.827mil","3017.718mil","3385.827mil","3017.718mil","3403.543mil","3017.718mil","T","180.00","CAP_0402"
"C175","CAPC0402(1005)60_N","3178.15mil","3139.765mil","3178.15mil","3139.765mil","3195.866mil","3139.765mil","B","180.00","CAP_0402"
"C176","CAPC0402(1005)60_N","3399.607mil","3069.883mil","3399.607mil","3069.883mil","3417.323mil","3069.883mil","B","180.00","CAP_0402"
"C177","CAPC0402(1005)60_N","3240.158mil","3208.663mil","3240.158mil","3208.663mil","3222.442mil","3208.663mil","B","360.00","CAP_0402"
"C178","CAPC0402(1005)60_N","3369.095mil","2290.356mil","3369.095mil","2290.356mil","3369.095mil","2272.64mil","T","90.00","CAP_0402"
"C179","CAPC0402(1005)60_N","3413.386mil","2601.379mil","3413.386mil","2601.379mil","3413.386mil","2583.663mil","B","90.00","CAP_0402"
"C180","CAPC0402(1005)60_N","3325.788mil","2703.742mil","3325.788mil","2703.742mil","3343.504mil","2703.742mil","B","180.00","CAP_0402"
"C181","CAPC0402(1005)60_N","3177.166mil","2621.064mil","3177.166mil","2621.064mil","3194.882mil","2621.064mil","B","180.00","CAP_0402"
"C182","CAPC0402(1005)60_N","3334.646mil","2619.096mil","3334.646mil","2619.096mil","3316.93mil","2619.096mil","B","360.00","CAP_0402"
"C183","CAPC0402(1005)60_N","3455.709mil","2761.811mil","3455.709mil","2761.811mil","3437.993mil","2761.811mil","T","360.00","CAP_0402"
"C184","CAPC0402(1005)60_N","3361.221mil","2742.127mil","3361.221mil","2742.127mil","3343.505mil","2742.127mil","T","360.00","CAP_0402"
"C185","CAPC0402(1005)60_N","3091.536mil","2707.679mil","3091.536mil","2707.679mil","3073.82mil","2707.679mil","B","360.00","CAP_0402"
"C186","CAPC0402(1005)60_N","3002.952mil","2688.978mil","3002.952mil","2688.978mil","2985.236mil","2688.978mil","B","360.00","CAP_0402"
"C187","CAPC0402(1005)60_N","3209.646mil","2308.072mil","3209.646mil","2308.072mil","3227.362mil","2308.072mil","T","180.00","CAP_0402"
"C188","CAPC0402(1005)60_N","3438.977mil","2308.072mil","3438.977mil","2308.072mil","3456.693mil","2308.072mil","T","180.00","CAP_0402"
"C189","CAPC0402(1005)60_N","3412.402mil","2516.734mil","3412.402mil","2516.734mil","3412.402mil","2534.45mil","B","270.00","CAP_0402"
"C190","CAPC0402(1005)60_N","3464.567mil","2516.734mil","3464.567mil","2516.734mil","3464.567mil","2534.45mil","B","270.00","CAP_0402"
"C191","CAPC0402(1005)60_N","3298.229mil","2308.072mil","3298.229mil","2308.072mil","3280.513mil","2308.072mil","T","360.00","CAP_0402"
"C192","CAPC0402(1005)60_N","3177.166mil","2430.119mil","3177.166mil","2430.119mil","3194.882mil","2430.119mil","B","180.00","CAP_0402"
"C193","CAPC0402(1005)60_N","2989.174mil","2308.072mil","2989.174mil","2308.072mil","2971.458mil","2308.072mil","T","360.00","CAP_0402"
"C194","CAPC0603(1608)100_N","3484.252mil","2980.316mil","3484.252mil","2980.316mil","3484.252mil","3011.812mil","T","270.00","CAP_0603"
"C195","CAPC0402(1005)60_N","3394.685mil","2853.348mil","3394.685mil","2853.348mil","3394.685mil","2835.632mil","T","90.00","CAP_0402"
"C196","CAPC0402(1005)60_N","3336.615mil","2853.348mil","3336.615mil","2853.348mil","3336.615mil","2835.632mil","T","90.00","CAP_0402"
"C197","CAPC0603(1608)100_N","3484.252mil","2849.411mil","3484.252mil","2849.411mil","3484.252mil","2817.915mil","T","90.00","CAP_0603"
"C198","CAPC0402(1005)60_N","3394.685mil","2942.915mil","3394.685mil","2942.915mil","3394.685mil","2960.631mil","T","270.00","CAP_0402"
"C199","CAPC0402(1005)60_N","3336.615mil","2942.915mil","3336.615mil","2942.915mil","3336.615mil","2960.631mil","T","270.00","CAP_0402"
"C200","CAPC0603(1608)100_N","2388.78mil","1098.427mil","2388.78mil","1098.427mil","2388.78mil","1129.923mil","B","270.00","CAP_0603"
"C201","CAPC0603(1608)100_N","2462.599mil","1098.427mil","2462.599mil","1098.427mil","2462.599mil","1066.931mil","B","90.00","CAP_0603"
"C202","CAPC0603(1608)100_N","2458.662mil","591.537mil","2458.662mil","591.537mil","2458.662mil","623.033mil","B","270.00","CAP_0603"
"C203","CAPC0603(1608)100_N","2389.764mil","591.537mil","2389.764mil","591.537mil","2389.764mil","623.033mil","B","270.00","CAP_0603"
"C204","CAPC0603(1608)100_N","1437.008mil","952.757mil","1437.008mil","952.757mil","1437.008mil","921.261mil","B","90.00","CAP_0603"
"C205","CAPC0603(1608)100_N","1346.457mil","955.71mil","1346.457mil","955.71mil","1346.457mil","924.214mil","B","90.00","CAP_0603"
"C206","CAPC0603(1608)100_N","457.677mil","1112.205mil","457.677mil","1112.205mil","426.181mil","1112.205mil","T","360.00","CAP_0603"
"C207","CAPC0603(1608)100_N","457.677mil","1178.189mil","457.677mil","1178.189mil","426.181mil","1178.189mil","T","360.00","CAP_0603"
"C208","CAPC0603(1608)100_N","457.677mil","1308.071mil","457.677mil","1308.071mil","426.181mil","1308.071mil","T","360.00","CAP_0603"
"C209","CAPC0603(1608)100_N","457.677mil","1244.095mil","457.677mil","1244.095mil","426.181mil","1244.095mil","T","360.00","CAP_0603"
"C240","CAPC0805(2012)75_N","1712.599mil","1476.378mil","1712.599mil","1476.379mil","1712.599mil","1511.811mil","T","270.00","CAP_0805"
"C241","CAPC0402(1005)60_N","2043.307mil","1475.395mil","2043.307mil","1475.395mil","2043.307mil","1493.111mil","T","270.00","CAP_0402"
"C242","CAPC0402(1005)60_N","1991.142mil","1475.395mil","1991.142mil","1475.395mil","1991.142mil","1493.111mil","T","270.00","CAP_0402"
"C243","CAPC0402(1005)60_N","1938.976mil","1475.395mil","1938.976mil","1475.395mil","1938.976mil","1493.111mil","T","270.00","CAP_0402"
"C244","CAPC0402(1005)60_N","1885.827mil","1476.379mil","1885.827mil","1476.379mil","1885.827mil","1494.095mil","T","270.00","CAP_0402"
"C245","CAPC0402(1005)60_N","1833.662mil","1476.379mil","1833.662mil","1476.379mil","1833.662mil","1494.095mil","T","270.00","CAP_0402"
"C246","CAPC0402(1005)60_N","1780.512mil","1477.364mil","1780.512mil","1477.364mil","1780.512mil","1495.08mil","T","270.00","CAP_0402"
"C247","CAPC0805(2012)75_N","1756.024mil","345.474mil","1756.024mil","345.473mil","1756.024mil","310.041mil","T","90.00","CAP_0805"
"C248","CAPC0402(1005)60_N","1822.835mil","337.6mil","1822.835mil","337.6mil","1822.835mil","319.884mil","T","90.00","CAP_0402"
"C249","CAPC0402(1005)60_N","1875mil","337.6mil","1875mil","337.6mil","1875mil","319.884mil","T","90.00","CAP_0402"
"C250","CAPC0402(1005)60_N","1926.181mil","336.616mil","1926.181mil","336.616mil","1926.181mil","318.9mil","T","90.00","CAP_0402"
"C251","CAPC0402(1005)60_N","1977.717mil","337.008mil","1977.717mil","337.008mil","1977.717mil","319.292mil","T","90.00","CAP_0402"
"C252","CAPC0805(2012)75_N","1748.032mil","503.937mil","1748.032mil","503.938mil","1748.032mil","539.37mil","T","270.00","CAP_0805"
"C253","CAPC0402(1005)60_N","1974.41mil","500.986mil","1974.41mil","500.986mil","1974.41mil","518.702mil","T","270.00","CAP_0402"
"C254","CAPC0402(1005)60_N","1921.26mil","501.97mil","1921.26mil","501.97mil","1921.26mil","519.686mil","T","270.00","CAP_0402"
"C255","CAPC0402(1005)60_N","1869.567mil","501.577mil","1869.567mil","501.577mil","1869.567mil","519.293mil","T","270.00","CAP_0402"
"C256","CAPC0402(1005)60_N","1816.929mil","500.986mil","1816.929mil","500.986mil","1816.929mil","518.702mil","T","270.00","CAP_0402"
"C257","CAPC0402(1005)60_N","1916.339mil","648.623mil","1916.339mil","648.623mil","1898.623mil","648.623mil","T","360.00","CAP_0402"
"C258","CAPC0805(2012)75_N","1918.307mil","675.197mil","1918.307mil","675.198mil","1918.307mil","710.63mil","B","270.00","CAP_0805"
"C259","CAPC0402(1005)60_N","1849.41mil","701.773mil","1849.41mil","701.773mil","1849.41mil","719.489mil","B","270.00","CAP_0402"
"C260","CAPC0402(1005)60_N","1916.339mil","706.694mil","1916.339mil","706.694mil","1898.623mil","706.694mil","T","360.00","CAP_0402"
"C261","CAPC0805(2012)75_N","2087.6mil","480.316mil","2087.599mil","480.316mil","2052.167mil","480.316mil","B","360.00","CAP_0805"
"C262","CAPC0603(1608)100_N","3552.166mil","1109.253mil","3552.166mil","1109.253mil","3552.166mil","1140.749mil","B","270.00","CAP_0603"
"C263","CAPC0603(1608)100_N","3650.867mil","1107.285mil","3650.867mil","1107.285mil","3650.867mil","1075.789mil","B","90.00","CAP_0603"
"C264","CAPC0603(1608)100_N","3625.985mil","587.6mil","3625.985mil","587.6mil","3625.985mil","619.096mil","B","270.00","CAP_0603"
"C265","CAPC0603(1608)100_N","3558.071mil","587.6mil","3558.071mil","587.6mil","3558.071mil","619.096mil","B","270.00","CAP_0603"
"C266","CAPC0805(2012)75_N","2952.756mil","1461.617mil","2952.756mil","1461.616mil","2952.756mil","1426.184mil","T","90.00","CAP_0805"
"C267","CAPC0402(1005)60_N","3023.268mil","1460.08mil","3023.268mil","1460.08mil","3023.268mil","1442.364mil","T","90.00","CAP_0402"
"C268","CAPC0402(1005)60_N","3076.772mil","1460.631mil","3076.772mil","1460.631mil","3076.772mil","1442.915mil","T","90.00","CAP_0402"
"C269","CAPC0402(1005)60_N","3130.906mil","1460.631mil","3130.906mil","1460.631mil","3130.906mil","1442.915mil","T","90.00","CAP_0402"
"C270","CAPC0402(1005)60_N","3187.008mil","1460.631mil","3187.008mil","1460.631mil","3187.008mil","1442.915mil","T","90.00","CAP_0402"
"C271","CAPC0402(1005)60_N","3242.126mil","1460.631mil","3242.126mil","1460.631mil","3242.126mil","1442.915mil","T","90.00","CAP_0402"
"C272","CAPC0402(1005)60_N","3294.292mil","1460.631mil","3294.292mil","1460.631mil","3294.292mil","1442.915mil","T","90.00","CAP_0402"
"C273","CAPC0805(2012)75_N","2919.292mil","344.491mil","2919.292mil","344.49mil","2919.292mil","309.058mil","T","90.00","CAP_0805"
"C274","CAPC0402(1005)60_N","2988.622mil","342.954mil","2988.622mil","342.954mil","2988.622mil","325.238mil","T","90.00","CAP_0402"
"C275","CAPC0402(1005)60_N","3042.323mil","341.537mil","3042.323mil","341.537mil","3042.323mil","323.821mil","T","90.00","CAP_0402"
"C276","CAPC0402(1005)60_N","3096.457mil","341.537mil","3096.457mil","341.537mil","3096.457mil","323.821mil","T","90.00","CAP_0402"
"C277","CAPC0402(1005)60_N","3149.607mil","341.537mil","3149.607mil","341.537mil","3149.607mil","323.821mil","T","90.00","CAP_0402"
"C278","CAPC0805(2012)75_N","2909.449mil","485.237mil","2909.449mil","485.238mil","2909.449mil","520.67mil","T","270.00","CAP_0805"
"C279","CAPC0402(1005)60_N","3139.213mil","457.245mil","3139.213mil","457.245mil","3139.213mil","474.962mil","T","270.00","CAP_0402"
"C280","CAPC0402(1005)60_N","3084.646mil","457.679mil","3084.646mil","457.679mil","3084.646mil","475.395mil","T","270.00","CAP_0402"
"C281","CAPC0402(1005)60_N","3032.481mil","457.679mil","3032.481mil","457.679mil","3032.481mil","475.395mil","T","270.00","CAP_0402"
"C282","CAPC0402(1005)60_N","2979.331mil","458.663mil","2979.331mil","458.663mil","2979.331mil","476.379mil","T","270.00","CAP_0402"
"C283","CAPC0402(1005)60_N","3088.583mil","648.623mil","3088.583mil","648.623mil","3070.867mil","648.623mil","T","360.00","CAP_0402"
"C284","CAPC0805(2012)75_N","3069.882mil","567.916mil","3069.882mil","567.915mil","3069.882mil","532.483mil","B","90.00","CAP_0805"
"C285","CAPC0402(1005)60_N","3002.953mil","561.025mil","3002.953mil","561.025mil","3002.953mil","543.309mil","B","90.00","CAP_0402"
"C286","CAPC0402(1005)60_N","3088.583mil","705.71mil","3088.583mil","705.71mil","3070.867mil","705.71mil","T","360.00","CAP_0402"
"C287","CAPC0805(2012)75_N","3105.275mil","700.71mil","3105.276mil","700.71mil","3140.708mil","700.71mil","B","180.00","CAP_0805"
"C288","CAPC0402(1005)60_N","2159.449mil","4271.654mil","2159.449mil","4271.654mil","2159.449mil","4253.938mil","T","90.00","CAP_0402"
"C289","CAPC0402(1005)60_N","2513.78mil","4156.496mil","2513.78mil","4156.496mil","2496.064mil","4156.496mil","B","360.00","CAP_0402"
"C290","CAPC0402(1005)60_N","2513.78mil","4213.583mil","2513.78mil","4213.583mil","2496.064mil","4213.583mil","B","360.00","CAP_0402"
"C291","CAPC0402(1005)60_N","2513.78mil","4271.654mil","2513.78mil","4271.654mil","2496.064mil","4271.654mil","B","360.00","CAP_0402"
"C292","CAPC0402(1005)60_N","2513.78mil","4331.693mil","2513.78mil","4331.693mil","2531.495mil","4331.693mil","B","180.00","CAP_0402"
"C293","CAPC0402(1005)60_N","2238.189mil","4325.788mil","2238.189mil","4325.788mil","2220.473mil","4325.788mil","T","360.00","CAP_0402"
"C294","CAPC0402(1005)60_N","2397.638mil","4398.622mil","2397.638mil","4398.622mil","2379.922mil","4398.622mil","T","360.00","CAP_0402"
"C295","CAPC0402(1005)60_N","2477.362mil","4365.158mil","2477.362mil","4365.158mil","2477.362mil","4382.873mil","T","270.00","CAP_0402"
"C296","CAPC0402(1005)60_N","2437.008mil","4471.457mil","2437.008mil","4471.457mil","2454.724mil","4471.457mil","B","180.00","CAP_0402"
"C297","CAPC0402(1005)60_N","2322.834mil","4420.276mil","2322.834mil","4420.276mil","2340.55mil","4420.276mil","B","180.00","CAP_0402"
"C298","CAPC0402(1005)60_N","2514.764mil","4195.866mil","2514.764mil","4195.866mil","2514.764mil","4178.15mil","T","90.00","CAP_0402"
"C299","CAPC0603(1608)100_N","2524.606mil","4044.291mil","2524.606mil","4044.291mil","2556.102mil","4044.291mil","T","180.00","CAP_0603"
"C300","CAPC0402(1005)60_N","2303.15mil","4016.732mil","2303.15mil","4016.732mil","2320.866mil","4016.732mil","B","180.00","CAP_0402"
"C301","CAPC1210(3225)100_N","184.055mil","2699.803mil","184.055mil","2699.803mil","124.999mil","2699.803mil","B","360.00","CAP_1210"
"C302","CAPC1210(3225)100_N","184.055mil","2833.662mil","184.055mil","2833.662mil","124.999mil","2833.662mil","B","360.00","CAP_1210"
"C303","CAPC1210(3225)100_N","184.055mil","2964.567mil","184.055mil","2964.567mil","124.999mil","2964.567mil","B","360.00","CAP_1210"
"C304","CAPC1210(3225)100_N","183.071mil","3095.472mil","183.071mil","3095.472mil","124.015mil","3095.472mil","B","360.00","CAP_1210"
"C305","CAPC0402(1005)60_N","394.685mil","2379.921mil","394.685mil","2379.921mil","376.969mil","2379.921mil","T","360.00","CAP_0402"
"C306","CAPC0402(1005)60_N","703.74mil","2614.173mil","703.74mil","2614.173mil","686.024mil","2614.173mil","B","360.00","CAP_0402"
"C307","CAPC1210(3225)100_N","187.992mil","3091.535mil","187.992mil","3091.535mil","128.936mil","3091.535mil","T","360.00","CAP_1210"
"C308","CAPC1210(3225)100_N","187.836mil","2961.653mil","187.836mil","2961.653mil","128.78mil","2961.653mil","T","360.00","CAP_1210"
"C309","CAPC1210(3225)100_N","186.024mil","2829.724mil","186.024mil","2829.724mil","126.968mil","2829.724mil","T","360.00","CAP_1210"
"C310","CAPC1210(3225)100_N","186.024mil","2701.772mil","186.024mil","2701.772mil","126.968mil","2701.772mil","T","360.00","CAP_1210"
"C311","CAPC0402(1005)60_N","330.709mil","3107.284mil","330.709mil","3107.284mil","330.709mil","3089.568mil","T","90.00","CAP_0402"
"C312","CAPC0402(1005)60_N","486.221mil","2469.488mil","486.221mil","2469.488mil","486.221mil","2487.204mil","T","270.00","CAP_0402"
"C313","CAPC0402(1005)60_N","407.48mil","2488.189mil","407.48mil","2488.189mil","389.764mil","2488.189mil","T","360.00","CAP_0402"
"C314","CAPC0201(0603)33_N","399.606mil","2441.929mil","399.606mil","2441.929mil","386.614mil","2441.929mil","T","360.00","CAP_0201"
"C315","CAPC0402(1005)60_N","366.142mil","2549.213mil","366.142mil","2549.213mil","366.142mil","2531.497mil","B","90.00","CAP_0402"
"C316","CAPC0402(1005)60_N","434.055mil","2531.496mil","434.055mil","2531.496mil","451.771mil","2531.496mil","B","180.00","CAP_0402"
"C317","CAPC0402(1005)60_N","323.819mil","2442.913mil","323.819mil","2442.913mil","323.819mil","2425.197mil","T","90.00","CAP_0402"
"C318","CAPC0402(1005)60_N","270.669mil","2441.929mil","270.669mil","2441.929mil","270.669mil","2424.213mil","T","90.00","CAP_0402"
"C319","CAPC0805(2012)75_N","161.459mil","2578.661mil","161.458mil","2578.661mil","126.026mil","2578.661mil","T","360.00","CAP_0805"
"C320","CAPC0805(2012)75_N","161.418mil","2496.063mil","161.417mil","2496.063mil","125.985mil","2496.063mil","T","360.00","CAP_0805"
"C321","CAPC0402(1005)60_N","134.842mil","2429.134mil","134.842mil","2429.134mil","117.126mil","2429.134mil","T","360.00","CAP_0402"
"C322","CAPC0402(1005)60_N","134.842mil","2377.953mil","134.842mil","2377.953mil","117.126mil","2377.953mil","T","360.00","CAP_0402"
"C323","CAPC0402(1005)60_N","133.858mil","2327.756mil","133.858mil","2327.756mil","116.142mil","2327.756mil","T","360.00","CAP_0402"
"C324","Polarized_CAPC1210(3225)","184.055mil","2570.866mil","184.055mil","2570.866mil","243.111mil","2570.866mil","B","180.00","Cap Pol1"
"C325","CAPC0402(1005)60_N","696.85mil","2069.882mil","696.85mil","2069.882mil","679.134mil","2069.882mil","B","360.00","CAP_0402"
"C326","CAPC1210(3225)100_N","2332.677mil","3384.843mil","2332.677mil","3384.843mil","2332.677mil","3443.898mil","T","270.00","CAP_1210"
"C327","CAPC1210(3225)100_N","2272.638mil","1946.85mil","2272.638mil","1946.85mil","2272.638mil","2005.906mil","B","270.00","CAP_1210"
"C328","CAPC0402(1005)60_N","565.945mil","2188.976mil","565.945mil","2188.976mil","548.229mil","2188.976mil","B","360.00","CAP_0402"
"C329","CAPC0402(1005)60_N","566.929mil","2062.008mil","566.929mil","2062.008mil","549.213mil","2062.008mil","B","360.00","CAP_0402"
"C330","CAPC0402(1005)60_N","596.456mil","2306.102mil","596.456mil","2306.102mil","578.74mil","2306.102mil","T","360.00","CAP_0402"
"C331","CAPC0201(0603)33_N","104.331mil","2266.732mil","104.331mil","2266.732mil","104.331mil","2253.74mil","T","90.00","CAP_0201"
"C332","CAPC0402(1005)60_N","440.945mil","2241.142mil","440.945mil","2241.142mil","440.945mil","2258.858mil","T","270.00","CAP_0402"
"C333","CAPC0402(1005)60_N","509.843mil","2305.118mil","509.843mil","2305.118mil","492.127mil","2305.118mil","T","360.00","CAP_0402"
"C334","CAPC1210(3225)100_N","526.575mil","4245.079mil","526.575mil","4245.079mil","526.575mil","4186.023mil","T","90.00","CAP_1210"
"C335","CAPC1210(3225)100_N","655.944mil","4245.394mil","655.944mil","4245.394mil","655.944mil","4186.337mil","T","90.00","CAP_1210"
"C336","CAPC0402(1005)60_N","776.337mil","2000.512mil","776.337mil","2000.512mil","794.053mil","2000.512mil","T","180.00","CAP_0402"
"C337","CAPC0402(1005)60_N","776.575mil","2051.181mil","776.575mil","2051.181mil","794.291mil","2051.181mil","T","180.00","CAP_0402"
"C338","CAPC0402(1005)60_N","776.575mil","2101.378mil","776.575mil","2101.378mil","794.291mil","2101.378mil","T","180.00","CAP_0402"
"C339","Polarized_CAPC1210(3225)","184.055mil","2440.945mil","184.055mil","2440.945mil","243.111mil","2440.945mil","B","180.00","Cap Pol1"
"C340","CAPC0805(2012)75_N","803.151mil","2407.48mil","803.15mil","2407.48mil","767.718mil","2407.48mil","B","360.00","CAP_0805"
"C341","CAPC0805(2012)75_N","707.678mil","2403.543mil","707.677mil","2403.543mil","672.245mil","2403.543mil","T","360.00","CAP_0805"
"C342","CAPC0402(1005)60_N","1346.457mil","2301.181mil","1346.457mil","2301.181mil","1328.741mil","2301.181mil","B","360.00","CAP_0402"
"C343","CAPC1210(3225)100_N","3638.78mil","3209.646mil","3638.78mil","3209.646mil","3697.836mil","3209.646mil","T","180.00","CAP_1210"
"C344","CAPC1210(3225)100_N","3638.78mil","3075.787mil","3638.78mil","3075.787mil","3697.836mil","3075.787mil","T","180.00","CAP_1210"
"C345","CAPC0402(1005)60_N","1176.181mil","2384.843mil","1176.181mil","2384.843mil","1158.465mil","2384.843mil","B","360.00","CAP_0402"
"C346","CAPC0402(1005)60_N","1176.181mil","2334.646mil","1176.181mil","2334.646mil","1158.465mil","2334.646mil","B","360.00","CAP_0402"
"C347","CAPC0402(1005)60_N","1311.024mil","2068.898mil","1311.024mil","2068.898mil","1311.024mil","2086.614mil","T","270.00","CAP_0402"
"C348","CAPC0201(0603)33_N","851.378mil","2095.472mil","851.378mil","2095.472mil","851.378mil","2082.48mil","B","90.00","CAP_0201"
"C349","CAPC0402(1005)60_N","1155.512mil","2082.677mil","1155.512mil","2082.677mil","1137.796mil","2082.677mil","T","360.00","CAP_0402"
"C350","CAPC0402(1005)60_N","1155.512mil","2133.858mil","1155.512mil","2133.858mil","1137.796mil","2133.858mil","T","360.00","CAP_0402"
"C351","CAPC1210(3225)100_N","837.598mil","2698.819mil","837.598mil","2698.819mil","837.598mil","2757.875mil","B","270.00","CAP_1210"
"C352","CAPC1210(3225)100_N","1544.291mil","2417.323mil","1544.291mil","2417.323mil","1485.235mil","2417.323mil","B","360.00","CAP_1210"
"C353","Polarized_CAPC1210(3225)","445.866mil","3004.922mil","445.866mil","3004.922mil","386.81mil","3004.922mil","B","360.00","Cap Pol1"
"C354","CAPC0402(1005)60_N","1426.181mil","2367.126mil","1426.181mil","2367.126mil","1426.181mil","2349.41mil","B","90.00","CAP_0402"
"C355","Polarized_CAPC1210(3225)","1839.567mil","1665.354mil","1839.567mil","1665.354mil","1780.511mil","1665.354mil","T","360.00","Cap Pol1"
"C356","Polarized_CAPC1210(3225)","1797.244mil","1890.748mil","1797.244mil","1890.748mil","1797.244mil","1831.692mil","T","90.00","Cap Pol1"
"C357","CAPC0402(1005)60_N","1625mil","2218.504mil","1625mil","2218.504mil","1625mil","2236.22mil","B","270.00","CAP_0402"
"C358","CAPC0402(1005)60_N","1608.267mil","2092.52mil","1608.267mil","2092.52mil","1625.983mil","2092.52mil","B","180.00","CAP_0402"
"C359","CAPC0402(1005)60_N","1485.236mil","2366.142mil","1485.236mil","2366.142mil","1485.236mil","2383.858mil","T","270.00","CAP_0402"
"C360","CAPC0402(1005)60_N","1535.433mil","2366.142mil","1535.433mil","2366.142mil","1535.433mil","2383.858mil","T","270.00","CAP_0402"
"C361","CAPC0201(0603)33_N","1592.52mil","2201.772mil","1592.52mil","2201.772mil","1592.52mil","2188.78mil","T","90.00","CAP_0201"
"C362","CAPC0402(1005)60_N","1639.764mil","2193.898mil","1639.764mil","2193.898mil","1639.764mil","2176.182mil","T","90.00","CAP_0402"
"C363","CAPC0402(1005)60_N","3648.622mil","2456.693mil","3648.622mil","2456.693mil","3630.906mil","2456.693mil","T","360.00","CAP_0402"
"C364","CAPC1210(3225)100_N","3590.551mil","2518.701mil","3590.551mil","2518.701mil","3649.607mil","2518.701mil","B","180.00","CAP_1210"
"C365","CAPC0805(2012)75_N","3650.591mil","2524.606mil","3650.59mil","2524.606mil","3615.159mil","2524.606mil","T","360.00","CAP_0805"
"C366","CAPC0402(1005)60_N","3732.283mil","2805.118mil","3732.283mil","2805.118mil","3732.283mil","2822.834mil","T","270.00","CAP_0402"
"C367","CAPC0402(1005)60_N","3625mil","2847.441mil","3625mil","2847.441mil","3607.284mil","2847.441mil","B","360.00","CAP_0402"
"C368","CAPC0402(1005)60_N","3625mil","2897.638mil","3625mil","2897.638mil","3607.284mil","2897.638mil","B","360.00","CAP_0402"
"C369","CAPC0402(1005)60_N","1193.898mil","1928.15mil","1193.898mil","1928.15mil","1211.614mil","1928.15mil","T","180.00","CAP_0402"
"C370","CAPC0402(1005)60_N","636.811mil","1787.402mil","636.811mil","1787.402mil","636.811mil","1769.686mil","T","90.00","CAP_0402"
"C371","CAPC0603(1608)100_N","2804.134mil","1571.85mil","2804.134mil","1571.85mil","2772.638mil","1571.85mil","B","360.00","CAP_0603"
"C372","CAPC0603(1608)100_N","2811.024mil","1487.205mil","2811.024mil","1487.205mil","2842.52mil","1487.205mil","B","180.00","CAP_0603"
"C373","CAPC0402(1005)60_N","2814.961mil","1619.094mil","2814.961mil","1619.094mil","2797.245mil","1619.094mil","T","360.00","CAP_0402"
"C378","Polarized_CAPC1206(3216)","1767.717mil","4116.142mil","1767.717mil","4116.142mil","1708.661mil","4116.142mil","B","360.00","Cap Pol1"
"C379","Polarized_CAPC1206(3216)","1581.693mil","4245.079mil","1581.693mil","4245.079mil","1522.637mil","4245.079mil","T","360.00","Cap Pol1"
"C380","Polarized_CAPC1210(3225)","1548.228mil","3922.244mil","1548.228mil","3922.244mil","1548.228mil","3981.3mil","T","270.00","Cap Pol1"
"C381","CAPC0402(1005)60_N","2043.307mil","4100.394mil","2043.307mil","4100.394mil","2043.307mil","4082.678mil","T","90.00","CAP_0402"
"C382","Polarized_CAPC1206(3216)","1804.134mil","4559.055mil","1804.134mil","4559.055mil","1745.078mil","4559.055mil","B","360.00","Cap Pol1"
"C383","Polarized_CAPC1210(3225)","1551.181mil","4498.032mil","1551.181mil","4498.032mil","1610.237mil","4498.032mil","T","180.00","Cap Pol1"
"C384","Polarized_CAPC1210(3225)","1937.992mil","4297.244mil","1937.992mil","4297.244mil","1937.992mil","4238.188mil","B","90.00","Cap Pol1"
