"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C16","CAPC0603(1608)100_N","1022.638mil","3132.874mil","1022.638mil","3132.874mil","1022.638mil","3164.37mil","T","270.00","CAP_0603"
"C17","CAPC0603(1608)100_N","832.677mil","3011.811mil","832.677mil","3011.811mil","832.677mil","2980.315mil","T","90.00","CAP_0603"
"C18","CAPC0603(1608)100_N","895.669mil","3011.811mil","895.669mil","3011.811mil","895.669mil","2980.315mil","T","90.00","CAP_0603"
"C19","CAPC0402(1005)60_N","1003.937mil","2994.094mil","1003.937mil","2994.094mil","1003.937mil","2976.378mil","T","90.00","CAP_0402"
"C20","CAPC0402(1005)60_N","1602.362mil","2598.425mil","1602.362mil","2598.425mil","1584.646mil","2598.425mil","T","360.00","CAP_0402"
"C21","CAPC0402(1005)60_N","1830.709mil","2753.937mil","1830.709mil","2753.937mil","1830.709mil","2771.653mil","B","270.00","CAP_0402"
"C22","CAPC0402(1005)60_N","1767.716mil","2880.905mil","1767.716mil","2880.905mil","1767.716mil","2898.622mil","B","270.00","CAP_0402"
"C23","CAPC0402(1005)60_N","1893.701mil","2592.52mil","1893.701mil","2592.52mil","1893.701mil","2574.804mil","B","90.00","CAP_0402"
"C24","CAPC0402(1005)60_N","1704.724mil","2691.929mil","1704.724mil","2691.929mil","1704.724mil","2709.645mil","B","270.00","CAP_0402"
"C25","CAPC0402(1005)60_N","1924.213mil","2722.441mil","1924.213mil","2722.441mil","1924.213mil","2740.157mil","B","270.00","CAP_0402"
"C26","CAPC0402(1005)60_N","1832.677mil","2847.441mil","1832.677mil","2847.441mil","1832.677mil","2865.157mil","B","270.00","CAP_0402"
"C27","CAPC0402(1005)60_N","1799.213mil","2973.425mil","1799.213mil","2973.425mil","1799.213mil","2991.141mil","B","270.00","CAP_0402"
"C28","CAPC0402(1005)60_N","2352.716mil","2673.347mil","2352.716mil","2673.347mil","2370.432mil","2673.347mil","B","180.00","CAP_0402"
"C29","CAPC0402(1005)60_N","2424.567mil","2684.173mil","2424.567mil","2684.173mil","2424.567mil","2666.457mil","B","90.00","CAP_0402"
"C30","CAPC0402(1005)60_N","2476.732mil","2663.504mil","2476.732mil","2663.504mil","2476.732mil","2645.788mil","B","90.00","CAP_0402"
"C31","CAPC0402(1005)60_N","2635.197mil","3031.614mil","2635.197mil","3031.614mil","2635.197mil","3013.898mil","B","90.00","CAP_0402"
"C32","CAPC0402(1005)60_N","2576.142mil","3031.614mil","2576.142mil","3031.614mil","2576.142mil","3013.898mil","B","90.00","CAP_0402"
"C33","CAPC0402(1005)60_N","2515.512mil","3031.615mil","2515.512mil","3031.615mil","2515.512mil","3013.899mil","B","90.00","CAP_0402"
"C34","CAPC0402(1005)60_N","2477.716mil","2574.921mil","2477.716mil","2574.921mil","2477.716mil","2592.637mil","B","270.00","CAP_0402"
"C35","CAPC0402(1005)60_N","2646.024mil","2640.866mil","2646.024mil","2640.866mil","2646.024mil","2658.582mil","B","270.00","CAP_0402"
"C36","CAPC0402(1005)60_N","2635.197mil","3128.071mil","2635.197mil","3128.071mil","2635.197mil","3145.787mil","B","270.00","CAP_0402"
"C37","CAPC0402(1005)60_N","2578.11mil","3128.071mil","2578.11mil","3128.071mil","2578.11mil","3145.787mil","B","270.00","CAP_0402"
"C38","CAPC0402(1005)60_N","2588.937mil","2640.866mil","2588.937mil","2640.866mil","2588.937mil","2658.582mil","B","270.00","CAP_0402"
"C39","CAPC1206(3216)100_N","755.905mil","3099.41mil","755.905mil","3099.41mil","755.905mil","3158.465mil","T","270.00","CAP_1206"
"C40","CAPC0603(1608)100_N","959.292mil","3132.757mil","959.292mil","3132.757mil","959.292mil","3164.253mil","T","270.00","CAP_0603"
"C41","CAPC0603(1608)100_N","896.299mil","3132.757mil","896.299mil","3132.757mil","896.299mil","3164.253mil","T","270.00","CAP_0603"
"C42","CAPC0603(1608)100_N","833.307mil","3132.757mil","833.307mil","3132.757mil","833.307mil","3164.253mil","T","270.00","CAP_0603"
"C43","CAPC0402(1005)60_N","953.74mil","2994.094mil","953.74mil","2994.094mil","953.74mil","2976.378mil","T","90.00","CAP_0402"
"C44","CAPC0402(1005)60_N","1603.347mil","2750.984mil","1603.347mil","2750.984mil","1585.63mil","2750.984mil","T","360.00","CAP_0402"
"C45","CAPC0402(1005)60_N","1704.724mil","3007.874mil","1704.724mil","3007.874mil","1704.724mil","3025.59mil","B","270.00","CAP_0402"
"C46","CAPC0402(1005)60_N","1603.347mil","2700.787mil","1603.347mil","2700.787mil","1585.63mil","2700.787mil","T","360.00","CAP_0402"
"C47","CAPC0402(1005)60_N","1602.362mil","2650.591mil","1602.362mil","2650.591mil","1584.646mil","2650.591mil","T","360.00","CAP_0402"
"C48","CAPC0402(1005)60_N","1735.236mil","2785.433mil","1735.236mil","2785.433mil","1735.236mil","2803.149mil","B","270.00","CAP_0402"
"C49","CAPC0402(1005)60_N","1785.433mil","2547.244mil","1785.433mil","2547.244mil","1803.149mil","2547.244mil","B","180.00","CAP_0402"
"C50","CAPC0402(1005)60_N","1815.945mil","2642.716mil","1815.945mil","2642.716mil","1833.661mil","2642.716mil","B","180.00","CAP_0402"
"C51","CAPC0402(1005)60_N","1893.701mil","2943.898mil","1893.701mil","2943.898mil","1893.701mil","2961.614mil","B","270.00","CAP_0402"
"C52","CAPC0603(1608)100_N","2576.023mil","2422.795mil","2576.023mil","2422.795mil","2544.527mil","2422.795mil","T","360.00","CAP_0603"
"C53","CAPC0603(1608)100_N","2548.583mil","3289.488mil","2548.583mil","3289.488mil","2580.079mil","3289.488mil","T","180.00","CAP_0603"
"C54","CAPC0603(1608)100_N","2547.599mil","3360.354mil","2547.599mil","3360.354mil","2579.095mil","3360.354mil","T","180.00","CAP_0603"
"C55","CAPC1206(3216)100_N","2516.102mil","3446.969mil","2516.102mil","3446.969mil","2575.158mil","3446.969mil","T","180.00","CAP_1206"
"C56","CAPC1206(3216)100_N","2544.645mil","2338.701mil","2544.645mil","2338.701mil","2485.589mil","2338.701mil","T","360.00","CAP_1206"
"C57","CAPC0402(1005)60_N","2591.889mil","2485.354mil","2591.889mil","2485.354mil","2574.173mil","2485.354mil","T","360.00","CAP_0402"
"C58","CAPC0402(1005)60_N","2701.142mil","2640.866mil","2701.142mil","2640.866mil","2701.142mil","2658.582mil","B","270.00","CAP_0402"
"C59","CAPC1206(3216)100_N","1964.567mil","3383.858mil","1964.567mil","3383.858mil","1964.567mil","3442.914mil","T","270.00","CAP_1206"
"C60","CAPC0603(1608)100_N","2057.4mil","2076.142mil","2057.4mil","2076.142mil","2025.904mil","2076.142mil","B","360.00","CAP_0603"
"C61","CAPC0603(1608)100_N","2057.4mil","2141.102mil","2057.4mil","2141.102mil","2025.904mil","2141.102mil","B","360.00","CAP_0603"
"C62","CAPC0603(1608)100_N","2057.4mil","2205.079mil","2057.4mil","2205.079mil","2025.904mil","2205.079mil","B","360.00","CAP_0603"
"C63","CAPC0603(1608)100_N","2171.26mil","3352.362mil","2171.26mil","3352.362mil","2171.26mil","3383.858mil","T","270.00","CAP_0603"
"C64","CAPC1206(3216)100_N","2090.551mil","1900.591mil","2090.551mil","1900.591mil","2031.495mil","1900.591mil","B","360.00","CAP_1206"
"C65","CAPC0402(1005)60_N","2182.087mil","2069.882mil","2182.087mil","2069.882mil","2199.803mil","2069.882mil","B","180.00","CAP_0402"
"C66","CAPC0402(1005)60_N","2132.244mil","3334.331mil","2132.244mil","3334.331mil","2132.244mil","3352.047mil","B","270.00","CAP_0402"
"C67","CAPC0402(1005)60_N","1876.968mil","3146.654mil","1876.968mil","3146.654mil","1894.685mil","3146.654mil","B","180.00","CAP_0402"
"C68","CAPC0402(1005)60_N","2259.843mil","3103.347mil","2259.843mil","3103.347mil","2247.315mil","3090.819mil","B","45.00","CAP_0402"
"C69","CAPC0402(1005)60_N","1830.709mil","3069.882mil","1830.709mil","3069.882mil","1830.709mil","3087.598mil","B","270.00","CAP_0402"
"C70","CAPC0402(1005)60_N","2184.055mil","3334.645mil","2184.055mil","3334.645mil","2184.055mil","3352.361mil","B","270.00","CAP_0402"
"C71","CAPC0402(1005)60_N","2208.661mil","2593.504mil","2208.661mil","2593.504mil","2208.661mil","2575.788mil","B","90.00","CAP_0402"
"C72","CAPC0402(1005)60_N","2145.669mil","3069.882mil","2145.669mil","3069.882mil","2145.669mil","3087.598mil","B","270.00","CAP_0402"
"C73","CAPC0402(1005)60_N","1974.409mil","3115.157mil","1974.409mil","3115.157mil","1992.125mil","3115.157mil","B","180.00","CAP_0402"
"C74","CAPC0402(1005)60_N","2320.866mil","3209.646mil","2320.866mil","3209.646mil","2338.582mil","3209.646mil","B","180.00","CAP_0402"
"C75","CAPC0402(1005)60_N","1769.685mil","3160.433mil","1769.685mil","3160.433mil","1769.685mil","3142.717mil","B","90.00","CAP_0402"
"C76","CAPC0402(1005)60_N","2194.882mil","3145.669mil","2194.882mil","3145.669mil","2212.598mil","3145.669mil","B","180.00","CAP_0402"
"C77","CAPC0402(1005)60_N","2182.087mil","2120.079mil","2182.087mil","2120.079mil","2199.803mil","2120.079mil","B","180.00","CAP_0402"
"C78","CAPC0603(1608)100_N","2108.268mil","3352.362mil","2108.268mil","3352.362mil","2108.268mil","3383.858mil","T","270.00","CAP_0603"
"C79","CAPC0603(1608)100_N","2043.307mil","3352.362mil","2043.307mil","3352.362mil","2043.307mil","3383.858mil","T","270.00","CAP_0603"
"C80","CAPC1206(3216)100_N","1871.063mil","3383.858mil","1871.063mil","3383.858mil","1871.063mil","3442.914mil","T","270.00","CAP_1206"
"C81","CAPC0402(1005)60_N","1753.937mil","3083.661mil","1753.937mil","3083.661mil","1771.653mil","3083.661mil","B","180.00","CAP_0402"
"C82","CAPC0402(1005)60_N","2004.921mil","3212.599mil","2004.921mil","3212.599mil","2022.637mil","3212.599mil","B","180.00","CAP_0402"
"C83","CAPC0402(1005)60_N","2182.086mil","2219.961mil","2182.086mil","2219.961mil","2199.802mil","2219.961mil","B","180.00","CAP_0402"
"C84","CAPC0402(1005)60_N","2182.086mil","2170.079mil","2182.086mil","2170.079mil","2199.802mil","2170.079mil","B","180.00","CAP_0402"
"C85","CAPC0402(1005)60_N","2081.575mil","3334.644mil","2081.575mil","3334.644mil","2081.575mil","3352.36mil","B","270.00","CAP_0402"
"C86","CAPC0402(1005)60_N","2031.496mil","3333.661mil","2031.496mil","3333.661mil","2031.496mil","3351.377mil","B","270.00","CAP_0402"
"C87","CAPC1206(3216)100_N","2090.551mil","1997.047mil","2090.551mil","1997.047mil","2031.495mil","1997.047mil","B","360.00","CAP_1206"
"C88","CAPC0603(1608)100_N","2058.186mil","2267.086mil","2058.186mil","2267.086mil","2026.69mil","2267.086mil","B","360.00","CAP_0603"
"C89","CAPC0603(1608)100_N","1925.197mil","3351.378mil","1925.197mil","3351.378mil","1925.197mil","3382.874mil","B","270.00","CAP_0603"
"C90","CAPC0603(1608)100_N","2235.236mil","3352.362mil","2235.236mil","3352.362mil","2235.236mil","3383.858mil","T","270.00","CAP_0603"
"C91","CAPC0402(1005)60_N","1981.299mil","3334.646mil","1981.299mil","3334.646mil","1981.299mil","3352.362mil","B","270.00","CAP_0402"
"C92","CAPC0402(1005)60_N","2004.921mil","2659.449mil","2004.921mil","2659.449mil","1992.394mil","2646.922mil","B","45.00","CAP_0402"
"C93","CAPC0402(1005)60_N","2051.181mil","3066.929mil","2051.181mil","3066.929mil","2051.181mil","3049.213mil","B","90.00","CAP_0402"
"C94","CAPC0402(1005)60_N","2098.425mil","3178.15mil","2098.425mil","3178.15mil","2116.141mil","3178.15mil","B","180.00","CAP_0402"
"C95","CAPC0402(1005)60_N","2065.945mil","2551.181mil","2065.945mil","2551.181mil","2048.229mil","2551.181mil","B","360.00","CAP_0402"
"C96","CAPC0402(1005)60_N","2095.472mil","3066.929mil","2095.472mil","3066.929mil","2095.472mil","3084.645mil","B","270.00","CAP_0402"
"C97","CAPC0402(1005)60_N","2101.378mil","2627.953mil","2101.378mil","2627.953mil","2088.851mil","2615.426mil","B","45.00","CAP_0402"
"C98","CAPC0402(1005)60_N","1988.189mil","2562.008mil","1988.189mil","2562.008mil","1988.189mil","2544.292mil","B","90.00","CAP_0402"
"C99","CAPC0402(1005)60_N","2297.244mil","2569.882mil","2297.244mil","2569.882mil","2297.244mil","2552.166mil","B","90.00","CAP_0402"
