s,DDR3_DQS0_N_U4.G3_NoTerm,DDR3_DQS0_N_U2.D2_NoTerm
0,0.365499675273895,0.365540415048599
5.39268803223525E-11,0.365499675273895,0.365540415048599
1.07853760644705E-10,0.365499675273895,0.365540444850922
1.61780644436504E-10,0.365499675273895,0.365540325641632
2.1570752128941E-10,0.365499675273895,0.36554029583931
2.69634398142315E-10,0.365506052970886,0.365539908409119
3.23561288873009E-10,0.365512430667877,0.365540087223053
3.77488179603702E-10,0.365518808364868,0.365539312362671
4.3141504257882E-10,0.365525186061859,0.365540385246277
4.85341933309513E-10,0.365528106689453,0.365539759397507
5.39268796284631E-10,0.365530997514725,0.365539848804474
5.931957147709E-10,0.365533918142319,0.365537703037262
6.47122577746018E-10,0.36553680896759,0.365535527467728
7.01049440721135E-10,0.365536153316498,0.365533173084259
7.54976359207404E-10,0.365535467863083,0.36553168296814
8.08903222182522E-10,0.36553481221199,0.365531653165817
8.6283008515764E-10,0.365534156560898,0.365532517433167
9.16757003643909E-10,0.365534514188766,0.365532398223877
9.70683866619027E-10,0.365534901618958,0.365534007549286
1.02461072959414E-9,0.365535259246826,0.365534156560898
1.07853759256926E-9,0.365535616874695,0.365533411502838
1.13246456656668E-9,0.36553481221199,0.365533798933029
1.1863914295418E-9,0.365534007549286,0.36553218960762
1.24031829251692E-9,0.365533202886581,0.365532398223877
1.29424515549204E-9,0.365532398223877,0.365532696247101
1.34817201846715E-9,0.36553281545639,0.365533202886581
1.40209888144227E-9,0.365533262491226,0.365533262491226
1.45602585543969E-9,0.365533709526062,0.365533649921417
1.50995271841481E-9,0.365534126758575,0.365532964468002
1.56387958138993E-9,0.365533709526062,0.365533918142319
1.61780644436504E-9,0.365533322095871,0.365531831979752
1.67173330734016E-9,0.36553293466568,0.365532398223877
1.72566017031528E-9,0.365532517433167,0.365532100200653
1.7795871443127E-9,0.365532726049423,0.365533500909805
1.83351400728782E-9,0.36553293466568,0.365533918142319
1.88744087026294E-9,0.365533113479614,0.365533322095871
1.94136773323805E-9,0.365533322095871,0.365534394979477
1.99529459621317E-9,0.507596909999847,0.365533918142319
2.04922145918829E-9,0.649660527706146,0.365534394979477
2.10314832216341E-9,0.7917240858078,0.365533292293549
2.15707518513852E-9,0.933787703514099,0.365533500909805
2.21100204811364E-9,1.02947878837585,0.365533411502838
2.26492913313336E-9,1.12517035007477,0.389072060585022
2.31885599610848E-9,1.22086155414581,0.450299769639969
2.3727828590836E-9,1.31655263900757,0.533480823040009
2.42670972205872E-9,1.26613128185272,0.629191637039185
2.48063658503384E-9,1.21570992469788,0.725440204143524
2.53456344800895E-9,1.16528868675232,0.815008163452148
2.58849031098407E-9,1.11486732959747,0.90078330039978
2.64241717395919E-9,1.09546709060669,0.984491586685181
2.69634403693431E-9,1.0760669708252,1.05073010921478
2.75027089990942E-9,1.05666673183441,1.0902818441391
2.80419776288454E-9,1.03726649284363,1.11427342891693
2.85812462585966E-9,1.04445087909698,1.12928462028503
2.91205171087938E-9,1.05163526535034,1.13965368270874
2.9659785738545E-9,1.05881953239441,1.14803183078766
3.01990543682962E-9,1.06600391864777,1.15517687797546
3.07383229980474E-9,1.08294069766998,1.16154551506042
3.12775916277985E-9,1.09987759590149,1.16425061225891
3.18168602575497E-9,1.11681437492371,1.16156089305878
3.23561288873009E-9,1.13375115394592,1.15571439266205
3.28953975170521E-9,1.13607811927795,1.14804637432098
3.34346661468032E-9,1.13840508460999,1.14243471622467
3.39739347765544E-9,1.14073193073273,1.14121460914612
3.45132034063056E-9,1.14305889606476,1.14254176616669
3.50524720360568E-9,1.14512467384338,1.14532017707825
3.5591742886254E-9,1.14719045162201,1.14721572399139
3.61310115160052E-9,1.14925622940063,1.14682173728943
3.66702801457564E-9,1.15132200717926,1.14510440826416
3.72095487755075E-9,1.14928352832794,1.14263689517975
3.77488174052587E-9,1.14724504947662,1.1411110162735
3.82880838145638E-9,1.14520657062531,1.14154541492462
3.88273546647611E-9,1.14316809177399,1.14311742782593
3.93666255149583E-9,1.14400172233582,1.14533793926239
3.99058919242634E-9,1.14483547210693,1.14685082435608
4.04451627744606E-9,1.14566910266876,1.1468391418457
4.09844291837658E-9,1.14650273323059,1.14594340324402
4.1523700033963E-9,1.14574635028839,1.14454412460327
4.20629664432681E-9,1.14498996734619,1.14361035823822
4.26022372934654E-9,1.14423358440399,1.14372563362122
4.31415037027705E-9,1.14347720146179,1.14444875717163
4.36807745529677E-9,1.14410150051117,1.14551770687103
4.42200409622728E-9,1.14472568035126,1.14622128009796
4.47593118124701E-9,1.14534997940063,1.14613127708435
4.52985826626673E-9,1.14597427845001,1.14558100700378
4.58378490719724E-9,1.14556491374969,1.14476871490479
4.63771199221696E-9,1.14515542984009,1.14422631263733
4.69163863314748E-9,1.14474606513977,1.14427447319031
4.7455657181672E-9,1.14433658123016,1.14466488361359
4.79949235909771E-9,1.14464890956879,1.14525020122528
4.85341944411743E-9,1.1449613571167,1.14563977718353
4.90734608504795E-9,1.14527368545532,1.14559829235077
4.96127317006767E-9,1.14558601379395,1.14530694484711
5.01519981099818E-9,0.974385678768158,1.14487338066101
5.06912689601791E-9,0.803183972835541,1.14458549022675
5.12305353694842E-9,0.631983637809753,1.1446168422699
5.17698062196814E-9,0.460781902074814,1.14483332633972
5.23090770698786E-9,0.404442429542542,1.14515507221222
5.28483434791838E-9,0.348103433847427,1.11704015731812
5.3387614329381E-9,0.291763991117477,1.04334425926208
5.39268807386861E-9,0.235424980521202,0.943087756633759
5.44661515888833E-9,0.278789699077606,0.827630043029785
5.50054179981885E-9,0.32215404510498,0.721314430236816
5.55446888483857E-9,0.365518778562546,0.638769626617432
5.60839552576908E-9,0.40888312458992,0.569947302341461
5.66232261078881E-9,0.422180473804474,0.508923053741455
5.71624925171932E-9,0.435477733612061,0.459733009338379
5.77017633673904E-9,0.448775082826614,0.424735814332962
5.82410342175876E-9,0.462072432041168,0.398054331541061
5.87803006268928E-9,0.454522371292114,0.376222401857376
5.931957147709E-9,0.446972250938416,0.360677689313889
5.98588378863951E-9,0.439422160387039,0.352235972881317
6.03981087365923E-9,0.43187204003334,0.347973823547363
6.09373751458975E-9,0.418819636106491,0.346145272254944
6.14766459960947E-9,0.405767112970352,0.346678823232651
6.20159124053998E-9,0.392714709043503,0.349523067474365
6.25551832555971E-9,0.379662185907364,0.353735029697418
6.30944496649022E-9,0.376109033823013,0.358749568462372
6.36337205150994E-9,0.372555881738663,0.362653315067291
6.41729869244045E-9,0.369002729654312,0.364297658205032
6.47122577746018E-9,0.365449577569962,0.364633977413177
6.5251528624799E-9,0.364309012889862,0.364226281642914
6.57907950341041E-9,0.363168448209763,0.364033222198486
6.63300658843013E-9,0.362027883529663,0.364631593227386
6.68693322936065E-9,0.360887318849564,0.365683913230896
6.74086031438037E-9,0.362101256847382,0.366990894079208
6.79478695531088E-9,0.363315224647522,0.367773026227951
6.84871404033061E-9,0.36452916264534,0.367562532424927
6.90264068126112E-9,0.365743100643158,0.366776496171951
6.95656776628084E-9,0.365487039089203,0.365662306547165
7.01049440721135E-9,0.36523100733757,0.364886432886124
7.06442149223108E-9,0.364974975585938,0.364849150180817
7.1183485772508E-9,0.364718914031982,0.365238875150681
7.17227521818131E-9,0.365129321813583,0.365870952606201
7.22620230320103E-9,0.365539729595184,0.366283357143402
7.28012894413155E-9,0.365950167179108,0.366198509931564
7.33405602915127E-9,0.366360574960709,0.365826427936554
7.38798267008178E-9,0.36604830622673,0.36529141664505
7.44190975510151E-9,0.365736037492752,0.364940822124481
7.49583684012123E-9,0.365423768758774,0.364983171224594
7.54976348105174E-9,0.365111500024796,0.365252792835236
7.60369012198225E-9,0.36530739068985,0.365651518106461
7.65761676291277E-9,0.365503281354904,0.365917921066284
7.7115442920217E-9,0.365699172019958,0.365895003080368
7.76547093295221E-9,0.365895062685013,0.36570480465889
7.81939757388272E-9,0.365735769271851,0.365419656038284
7.87332510299166E-9,0.365576475858688,0.365231245756149
7.92725174392217E-9,0.365417182445526,0.365254670381546
7.98117838485268E-9,0.365257889032364,0.365400552749634
8.0351050257832E-9,0.365375280380249,0.36561593413353
8.08903255489213E-9,0.365492701530457,0.365758448839188
8.14295919582264E-9,0.365610092878342,0.365742594003677
8.19688583675315E-9,0.365727484226227,0.36563515663147
8.25081247768367E-9,0.365642309188843,0.36547577381134
8.3047400067926E-9,0.365557134151459,0.365370035171509
8.35866664772311E-9,0.365471959114075,0.365381449460983
8.41259328865362E-9,0.365386784076691,0.365460574626923
8.46652081776256E-9,0.365450739860535,0.36557811498642
8.52044745869307E-9,0.365514725446701,0.365655958652496
8.57437409962358E-9,0.365578681230545,0.365647166967392
8.6283007405541E-9,0.365642637014389,0.365588247776031
8.68222826966303E-9,0.36559534072876,0.365500897169113
8.73615491059354E-9,0.36554804444313,0.365443050861359
