s,DDR3_DQS3_N_U5.B7_NoTerm,DDR3_DQS3_N_U2.W2_NoTerm
0,0.365499645471573,0.365541368722916
2.76989126080096E-10,0.365526348352432,0.365540027618408
5.53978252160192E-10,0.36553692817688,0.365533441305161
8.30967350484713E-10,0.36553481221199,0.36553281545639
1.10795650432038E-9,0.365533471107483,0.365534126758575
1.3849456026449E-9,0.365533769130707,0.365533649921417
1.66193470096943E-9,0.365533709526062,0.365534037351608
1.93892391031625E-9,0.365533947944641,0.365533173084259
2.21591300864077E-9,1.11264455318451,0.365534424781799
2.49290210696529E-9,1.24709272384644,0.710809051990509
2.76989120528981E-9,0.973708033561707,1.07733821868896
3.04688030361433E-9,1.12467551231384,1.15057063102722
3.32386940193885E-9,1.10341596603394,1.16471123695374
3.60085872230798E-9,1.1581197977066,1.14055442810059
3.8778478206325E-9,1.14996206760406,1.14103400707245
4.15483691895702E-9,1.14292347431183,1.14501142501831
4.43182601728154E-9,1.14436304569244,1.14565742015839
4.70881511560606E-9,1.14494001865387,1.14499223232269
4.98580421393058E-9,1.14545381069183,1.14503145217896
5.2627933122551E-9,0.25233519077301,1.14495837688446
5.53978241057962E-9,0.22303506731987,0.732617914676666
5.81677150890414E-9,0.589059770107269,0.412263929843903
6.09376060722866E-9,0.393211394548416,0.328336477279663
6.37074970555318E-9,0.408433258533478,0.344951152801514
6.6477388038777E-9,0.354420036077499,0.36125248670578
6.92472790220222E-9,0.356476157903671,0.369523614645004
7.20171744461595E-9,0.366016745567322,0.366584211587906
7.47870654294047E-9,0.366321384906769,0.36506587266922
7.75569564126499E-9,0.365920901298523,0.36544406414032
8.03268473958951E-9,0.365127623081207,0.365486860275269
8.30967383791403E-9,0.365789502859116,0.365632146596909
8.58666293623855E-9,0.365265667438507,0.365458756685257
8.86365203456307E-9,0.365815550088882,0.365604102611542
9.14064113288759E-9,0.365257918834686,0.365460574626923
9.41763023121212E-9,0.365805327892303,0.365606129169464
9.69461932953664E-9,0.365263760089874,0.365462183952332
9.97160842786116E-9,0.365801215171814,0.365604490041733
1.02485975261857E-8,0.365268528461456,0.365463376045227
