s,DDR3_DQ00_U4.E3_NoTerm,DDR3_DQ00_U2.D1_NoTerm
0,0.000483560783322901,0.000483583455206826
1.1601766769509E-10,0.000483560783322901,0.000483583455206826
2.32035335390179E-10,0.000483560463180766,0.000483572803204879
3.48053003085269E-10,0.000483560463180766,0.000483570387586951
4.64070670780359E-10,0.00048356395564042,0.000483555108075961
5.80088310719873E-10,0.0004835658473894,0.000483566895127296
6.96106006170538E-10,0.000483561161672696,0.000483531854115427
8.12123646110052E-10,0.000483564042951912,0.000483581592561677
9.28141341560718E-10,0.000483548559714109,0.000483484152937308
1.04415898150023E-9,0.000483572104712948,0.000483655254356563
1.16017662143975E-9,0.000483517302200198,0.000483347044792026
1.27619437240156E-9,0.000483612850075588,0.00048389975563623
1.39221201234108E-9,0.000483426090795547,0.000482908159028739
1.50822965228059E-9,0.000483769312268123,0.000484690419398248
1.6242472922201E-9,0.000483133509987965,0.000484051095554605
1.74026504318192E-9,0.000484297692310065,0.000484679185319692
1.85628268312144E-9,0.000484055286506191,0.000483124487800524
1.97230032306095E-9,0.000484417658299208,0.000483334035379812
2.08831796300046E-9,0.187050610780716,0.000483075331430882
2.20433560293998E-9,0.675069212913513,0.000483595678815618
2.32035324287949E-9,0.8884237408638,0.0940234512090683
2.43637110486361E-9,0.873304009437561,0.465426981449127
2.55238874480312E-9,0.857644200325012,1.02771353721619
2.66840638474264E-9,0.790385663509369,1.43537020683289
2.78442402468215E-9,0.906953573226929,1.63229477405548
2.90044166462167E-9,1.22038912773132,1.72439539432526
3.01645930456118E-9,1.43776726722717,1.71057438850403
3.1324769445007E-9,1.52767944335938,1.61719989776611
3.24849458444021E-9,1.59063768386841,1.536980509758
3.36451244642433E-9,1.60159528255463,1.48945152759552
3.48053008636384E-9,1.55815923213959,1.45133864879608
3.59654772630336E-9,1.52205681800842,1.43434000015259
3.71256536624287E-9,1.50407552719116,1.44778752326965
3.82858322822699E-9,1.48350131511688,1.46952521800995
3.9446006461219E-9,1.46967208385468,1.48569679260254
4.06061850810602E-9,1.47447454929352,1.5003502368927
4.17663592600093E-9,1.48418009281158,1.5115350484848
4.29265378798505E-9,1.48991549015045,1.51344442367554
4.40867120587995E-9,1.49643981456757,1.50970387458801
4.52468906786407E-9,1.5031304359436,1.50566446781158
4.64070648575898E-9,1.50476741790771,1.50134479999542
4.7567243477431E-9,1.50319254398346,1.49689471721649
4.87274220972722E-9,1.50190031528473,1.49456751346588
4.98875962762213E-9,1.50031125545502,1.49445188045502
5.10477748960625E-9,1.21239674091339,1.49503827095032
5.22079490750116E-9,0.735423922538757,1.49596893787384
5.33681276948528E-9,0.634136974811554,1.36329519748688
5.45283018738019E-9,0.624566674232483,0.918001055717468
5.56884804936431E-9,0.668778955936432,0.373200207948685
5.68486591134842E-9,0.716009438037872,0.0369968898594379
5.80088332924333E-9,0.538796067237854,-0.137811526656151
5.91690119122745E-9,0.239709883928299,-0.21876734495163
6.03291860912236E-9,0.0685581192374229,-0.181023269891739
6.14893647110648E-9,-0.0342639870941639,-0.0796706974506378
6.26495388900139E-9,-0.104700356721878,-0.0076192426495254
6.38097175098551E-9,-0.101852625608444,0.0335857681930065
6.49698916888042E-9,-0.049846276640892,0.0562282130122185
6.61300703086454E-9,-0.0140662146732211,0.0531084686517715
6.72902489284866E-9,0.00858017895370722,0.0294823255389929
6.84504231074357E-9,0.0249568019062281,0.009100834839046
6.96106017272768E-9,0.0290492344647646,-0.00294749811291695
7.07707759062259E-9,0.017369981855154,-0.0105190640315413
7.19309545260671E-9,0.00698422873392701,-0.0127395037561655
7.30911287050162E-9,0.00153618934564292,-0.00825871620327234
7.42513073248574E-9,-0.00391940167173743,-0.00307053490541875
7.54114815038065E-9,-0.00584558211266994,0.000270824413746595
7.65716645645398E-9,-0.00459675211459398,0.00249144085682929
7.77318387434889E-9,-0.00174811377655715,0.00378723978064954
7.8892012922438E-9,-0.000305684487102553,0.00321422005072236
8.00521871013871E-9,0.00104073062539101,0.00183159904554486
8.12123701621204E-9,0.00205093994736671,0.000850883370731026
8.23725443410694E-9,0.0019849797245115,0.000238103515584953
8.35327185200185E-9,0.00125485088210553,-0.000208442579605617
8.46928926989676E-9,0.000788468052633107,-0.000230975303566083
8.58530757597009E-9,0.000504138879477978,6.88126019667834E-5
8.701324993865E-9,0.00018601564806886,0.000317375699523836
8.81734241175991E-9,0.000101429170172196,0.00046959426254034
8.93336071783324E-9,0.000257652602158487,0.000608447066042572
9.04937813572815E-9,0.000378843193175271,0.000658383127301931
9.16539555362306E-9,0.000438438000855967,0.00060179055435583
9.28141297151797E-9,0.00052590697305277,0.000540039560291916
9.39743127759129E-9,0.000574506411794573,0.000505010597407818
9.5134486954862E-9,0.000546297640539706,0.000467372476123273
9.62946611338111E-9,0.000514392217155546,0.000443764467490837
9.74548441945444E-9,0.000503374845720828,0.000451600441010669
9.86150183734935E-9,0.00048247302765958,0.000466708414023742
9.97751925524426E-9,0.000463636504719034,0.000474321190267801
1.00935366731392E-8,0.00046673184260726,0.000483312702272087
