s,DDR3_DQ03_U4.F8_NoTerm,DDR3_DQ03_U2.D3_NoTerm
0,0.36549973487854,0.365540415048599
1.07237788093961E-10,0.36549973487854,0.365540415048599
2.14475576187922E-10,0.365508288145065,0.365540087223053
3.21713378159671E-10,0.365527093410492,0.365539580583572
4.28951152375845E-10,0.365534454584122,0.365538418292999
5.36188926592018E-10,0.365532964468002,0.365535110235214
6.43426756319343E-10,0.365534693002701,0.365532577037811
7.50664530535516E-10,0.365535825490952,0.365532785654068
8.5790230475169E-10,0.365536451339722,0.365533143281937
9.65140078967863E-10,0.365534245967865,0.365532696247101
1.07237785318404E-9,0.365533113479614,0.365533590316772
1.17961573842251E-9,0.365533232688904,0.365532249212265
1.28685351263869E-9,0.365533590316772,0.365533262491226
1.39409128685486E-9,0.365533292293549,0.365533649921417
1.50132906107103E-9,0.365533232688904,0.365533143281937
1.60856683528721E-9,0.36553293466568,0.365534096956253
1.71580460950338E-9,0.36553367972374,0.365532547235489
1.82304249474186E-9,0.365532994270325,0.365533411502838
1.93028015793573E-9,0.36553418636322,0.365532487630844
2.0375179321519E-9,0.441883534193039,0.365534454584122
2.14475570636807E-9,0.845355033874512,0.365533858537674
2.25199370262885E-9,1.22607004642487,0.374298095703125
2.35923147684503E-9,1.2610559463501,0.445564329624176
2.4664692510612E-9,1.24429321289063,0.64217871427536
2.57370702527737E-9,1.20963358879089,0.890357434749603
2.68094479949355E-9,1.09574449062347,1.04683482646942
2.78818257370972E-9,0.973340630531311,1.1050843000412
2.89542034792589E-9,0.974053382873535,1.13639426231384
3.00265812214207E-9,1.06163394451141,1.16386735439301
3.10989589635824E-9,0.768778383731842,1.17256808280945
3.21713367057441E-9,0.296619027853012,1.15708017349243
3.32437144479059E-9,0.236870169639587,1.10139012336731
3.43160921900676E-9,0.258373022079468,0.933589935302734
3.53884699322293E-9,0.292140603065491,0.678222596645355
3.64608498948371E-9,0.381258875131607,0.490403592586517
3.75332254165528E-9,0.513413369655609,0.412617444992065
3.86056031587145E-9,0.54733681678772,0.377839267253876
3.96779809008763E-9,0.464142829179764,0.350172102451324
4.0750358643038E-9,0.401924908161163,0.334518551826477
4.18227363851997E-9,0.392521440982819,0.344161689281464
4.28951141273615E-9,0.388766497373581,0.361841470003128
4.39674963104153E-9,0.370345056056976,0.366865515708923
4.5039874052577E-9,0.351583421230316,0.364705801010132
4.61122517947388E-9,0.355100721120834,0.365121096372604
4.71846295369005E-9,0.366022109985352,0.368020206689835
4.82570072790622E-9,0.366827368736267,0.368711054325104
4.9329385021224E-9,0.363322883844376,0.366266489028931
5.04017627633857E-9,0.36328136920929,0.364808648824692
