s,DDR3_A3_U4.N2_NoTerm,DDR3_A3_U5.N2_NoTerm,DDR3_A3_U2.L4_NoTerm
2.81447287697745E-9,1.66643786430359,1.6751207113266,0.980041742324829
2.82875967094753E-9,1.6975245475769,1.70241785049438,0.994940102100372
2.84304624287302E-9,1.72644662857056,1.7297146320343,1.00983822345734
2.8573330368431E-9,1.75387954711914,1.75701177120209,1.02473664283752
2.87161960876858E-9,1.78005659580231,1.77667593955994,1.05208575725555
2.88590640273867E-9,1.80311238765717,1.79634046554565,1.07943534851074
2.90019297466415E-9,1.82308566570282,1.81600475311279,1.10678446292877
2.91447954658963E-9,1.84090137481689,1.83566892147064,1.1341335773468
2.92876634055972E-9,1.85695493221283,1.84639453887939,1.1614830493927
2.9430529124852E-9,1.86912155151367,1.85711991786957,1.18883216381073
2.95733970645529E-9,1.87750899791718,1.86784553527832,1.21618175506592
2.97162627838077E-9,1.8831969499588,1.87857091426849,1.24353086948395
2.98591285030625E-9,1.88688945770264,1.88107109069824,1.266725897789
3.00019964427634E-9,1.88788616657257,1.88357138633728,1.28992116451263
3.01448621620182E-9,1.88650298118591,1.88607156276703,1.31311619281769
3.0287730101719E-9,1.88352000713348,1.88857173919678,1.33631157875061
3.04305958209738E-9,1.87929129600525,1.88337254524231,1.35950648784637
3.05734637606747E-9,1.87255120277405,1.87817335128784,1.3827018737793
3.07163294799295E-9,1.86343061923981,1.87297427654266,1.40589678287506
3.08591951991843E-9,1.8528653383255,1.8677750825882,1.42909181118011
3.10020631388852E-9,1.84138762950897,1.85574281215668,1.44332730770111
3.114492885814E-9,1.82898485660553,1.84371066093445,1.45756256580353
3.12877967978409E-9,1.81587481498718,1.83167839050293,1.47179806232452
3.14306625170957E-9,1.80266845226288,1.81964635848999,1.48603320121765
3.15735304567966E-9,1.78954768180847,1.80422556400299,1.50026869773865
3.17163961760514E-9,1.77632653713226,1.78880500793457,1.51450395584106
3.18592618953062E-9,1.76300144195557,1.77338457107544,1.52873921394348
3.20021298350071E-9,1.74987709522247,1.75796377658844,1.54297471046448
3.21449955542619E-9,1.73695766925812,1.74137485027313,1.55088591575623
3.22878634939627E-9,1.72376430034637,1.72478568553925,1.55879724025726
3.24307292132175E-9,1.71022820472717,1.70819675922394,1.56670832633972
3.25735949324724E-9,1.69664859771729,1.69160783290863,1.57461953163147
3.27164628721732E-9,1.68309557437897,1.67554771900177,1.58253085613251
3.2859328591428E-9,1.669304728508,1.65948784351349,1.59044194221497
3.30021965311289E-9,1.65524661540985,1.64342772960663,1.598353266716
3.31450622503837E-9,1.64104318618774,1.62736785411835,1.60626447200775
3.32879301900846E-9,1.62671446800232,1.61291289329529,1.60783398151398
3.34307959093394E-9,1.61190795898438,1.59845805168152,1.60940337181091
3.35736616285942E-9,1.59660685062408,1.58400332927704,1.61097288131714
3.37165295682951E-9,1.58092975616455,1.56954836845398,1.61254239082336
3.38593952875499E-9,1.56496345996857,1.55573272705078,1.6141117811203
3.40022632272508E-9,1.54859471321106,1.541916847229,1.61568129062653
3.41451289465056E-9,1.53187370300293,1.52810108661652,1.61725068092346
3.42879946657604E-9,1.5149644613266,1.51428544521332,1.61882019042969
3.44308626054612E-9,1.49802839756012,1.50093364715576,1.61606311798096
3.45737283247161E-9,1.48171365261078,1.48758208751678,1.61330616474152
3.47165962644169E-9,1.46611058712006,1.47423028945923,1.61054921150208
3.48594619836717E-9,1.45115625858307,1.46087872982025,1.60779213905334
3.50023299233726E-9,1.43680846691132,1.44887375831604,1.6050351858139
3.51451956426274E-9,1.42378187179565,1.43686890602112,1.60227823257446
3.52880613618822E-9,1.41205382347107,1.42486417293549,1.59952127933502
3.54309293015831E-9,1.40139877796173,1.41285920143127,1.59676420688629
3.55737950208379E-9,1.39161157608032,1.40268087387085,1.59275853633881
3.57166629605388E-9,1.38306212425232,1.39250230789185,1.58875274658203
3.58595286797936E-9,1.37563598155975,1.38232398033142,1.58474707603455
3.60023966194944E-9,1.36911332607269,1.37214541435242,1.58074140548706
3.61452623387493E-9,1.36334562301636,1.36518108844757,1.57673573493958
3.62881280580041E-9,1.35890638828278,1.35821664333344,1.57273006439209
3.64309959977049E-9,1.35570979118347,1.3512521982193,1.56872427463531
3.65738617169598E-9,1.35337138175964,1.34428787231445,1.56471860408783
3.67167296566606E-9,1.35162329673767,1.34156894683838,1.56003487110138
3.68595953759154E-9,1.35042464733124,1.3388500213623,1.55535125732422
3.70024610951702E-9,1.34964597225189,1.33613109588623,1.55066764354706
3.71453290348711E-9,1.34905183315277,1.33341217041016,1.5459840297699
3.72881947541259E-9,1.34857046604156,1.33442449569702,1.54130041599274
3.74310626938268E-9,1.34845638275146,1.33543682098389,1.53661668300629
3.75739306335277E-9,1.34870576858521,1.33644914627075,1.53193295001984
3.77167941323364E-9,1.34912693500519,1.33746147155762,1.52724945545197
3.78596620720373E-9,1.34966552257538,1.34132552146912,1.52232468128204
3.80025300117381E-9,1.3506064414978,1.34518945217133,1.51739978790283
3.81453935105469E-9,1.35194993019104,1.34905326366425,1.5124751329422
3.82882614502478E-9,1.35350799560547,1.35291731357574,1.50755023956299
3.84311293899486E-9,1.35523855686188,1.35804235935211,1.50262546539307
3.85739973296495E-9,1.35757517814636,1.36316752433777,1.49770069122314
3.87168608284583E-9,1.36053156852722,1.36829245090485,1.49277591705322
3.88597287681591E-9,1.36392629146576,1.37341749668121,1.4878511428833
3.900259670786E-9,1.36768066883087,1.37865161895752,1.48442161083221
3.91454602066688E-9,1.3722198009491,1.38388562202454,1.48099207878113
3.92883281463696E-9,1.37752056121826,1.38911986351013,1.47756254673004
3.94311960860705E-9,1.38335931301117,1.39435398578644,1.47413301467896
3.95740595848793E-9,1.38961446285248,1.39974844455719,1.47070348262787
3.97169275245801E-9,1.3965984582901,1.40514302253723,1.46727395057678
3.9859795464281E-9,1.40425992012024,1.41053760051727,1.46384429931641
4.00026634039818E-9,1.41235375404358,1.41593217849731,1.46041476726532
4.01455269027906E-9,1.42071235179901,1.42180383205414,1.45914673805237
4.02883948424915E-9,1.42918133735657,1.42767572402954,1.45787870883942
4.04312627821923E-9,1.43768215179443,1.43354749679565,1.45661067962646
4.05741262810011E-9,1.44610369205475,1.43941915035248,1.4553427696228
4.0716994220702E-9,1.45440149307251,1.44600927829742,1.45407474040985
4.08598621604028E-9,1.46238005161285,1.45259940624237,1.4528067111969
4.10027301001037E-9,1.47003042697906,1.45918953418732,1.45153868198395
4.11455935989125E-9,1.47733950614929,1.46577942371368,1.450270652771
4.12884615386133E-9,1.48433470726013,1.47305834293365,1.45049393177032
4.14313294783142E-9,1.49080836772919,1.48033726215363,1.45071732997894
4.15741929771229E-9,1.49678885936737,1.48761606216431,1.45094060897827
4.17170609168238E-9,1.50233447551727,1.49489498138428,1.4511638879776
4.18599288565247E-9,1.50751435756683,1.50181543827057,1.45138716697693
4.20027967962255E-9,1.51215517520905,1.50873601436615,1.45161056518555
4.21456602950343E-9,1.51630747318268,1.51565635204315,1.45183384418488
4.22885282347352E-9,1.52010309696198,1.52257680892944,1.4520571231842
4.2431396174436E-9,1.52365398406982,1.52797973155975,1.45339906215668
4.25742596732448E-9,1.52705454826355,1.53338241577148,1.45474100112915
4.27171276129457E-9,1.53036451339722,1.5387852191925,1.45608305931091
4.28599955526465E-9,1.53364014625549,1.54418814182281,1.45742499828339
4.30028634923474E-9,1.53689813613892,1.5474591255188,1.45876693725586
4.31457269911562E-9,1.54009187221527,1.55073010921478,1.46010887622833
4.3288594930857E-9,1.54322230815887,1.55400109291077,1.4614509344101
4.34314628705579E-9,1.54633259773254,1.55727207660675,1.46279287338257
4.35743263693666E-9,1.54942917823792,1.55843687057495,1.46499586105347
4.37171943090675E-9,1.55242455005646,1.55960178375244,1.46719896793365
4.38600622487684E-9,1.5553126335144,1.56076669692993,1.46940195560455
4.40029257475771E-9,1.5581294298172,1.56193149089813,1.47160494327545
4.4145793687278E-9,1.56086325645447,1.56186640262604,1.47380805015564
4.42886616269789E-9,1.56322944164276,1.56180131435394,1.47601103782654
4.44315295666797E-9,1.56520938873291,1.56173622608185,1.47821414470673
4.45743930654885E-9,1.56688320636749,1.56167113780975,1.48041713237762
4.47172610051894E-9,1.56828880310059,1.5612565279007,1.48264849185944
4.48601289448902E-9,1.56911182403564,1.56084179878235,1.48487997055054
4.5002992443699E-9,1.56936681270599,1.56042718887329,1.48711133003235
4.51458603833998E-9,1.56919479370117,1.56001257896423,1.48934268951416
4.52887283231007E-9,1.56867587566376,1.55952394008636,1.49157404899597
4.54315962628016E-9,1.5675208568573,1.5590353012085,1.49380552768707
4.55744597616103E-9,1.56576633453369,1.55854678153992,1.49603688716888
4.57173277013112E-9,1.56359672546387,1.55805814266205,1.4982682466507
4.58601956410121E-9,1.56113731861115,1.55724930763245,1.49987411499023
4.60030591398208E-9,1.55837202072144,1.55644059181213,1.50148010253906
4.61459270795217E-9,1.55536067485809,1.55563187599182,1.5030859708786
4.62887950192226E-9,1.55222976207733,1.55482304096222,1.50469183921814
4.64316629589234E-9,1.5490415096283,1.55315184593201,1.50629782676697
4.65745264577322E-9,1.54582512378693,1.55148077011108,1.50790369510651
4.67173943974331E-9,1.54260182380676,1.54980969429016,1.50950968265533
4.68602623371339E-9,1.53944206237793,1.54813849925995,1.51111555099487
4.70031258359427E-9,1.5363701581955,1.54525291919708,1.51202988624573
4.71459937756435E-9,1.53349673748016,1.54236721992493,1.51294422149658
4.72888617153444E-9,1.53082251548767,1.53948140144348,1.51385855674744
4.74317252141532E-9,1.52834582328796,1.53659582138062,1.514772772789
4.7574593153854E-9,1.52603459358215,1.53289949893951,1.51568710803986
4.77174610935549E-9,1.5239040851593,1.5292032957077,1.51660144329071
4.78603290332558E-9,1.52192497253418,1.5255069732666,1.51751577854156
4.80031925320645E-9,1.52006280422211,1.52181077003479,1.51843011379242
4.81460604717654E-9,1.518275141716,1.51811051368713,1.51866638660431
4.82889284114663E-9,1.51645874977112,1.51441025733948,1.51890254020691
4.8431791910275E-9,1.5145868062973,1.51071000099182,1.5191388130188
4.85746598499759E-9,1.51266121864319,1.50700974464417,1.51937508583069
4.87175277896768E-9,1.5106805562973,1.5040967464447,1.51961123943329
4.88603957293776E-9,1.50854921340942,1.50118362903595,1.51984751224518
4.90032592281864E-9,1.50626611709595,1.49827063083649,1.52008366584778
4.91461271678872E-9,1.50386095046997,1.49535763263702,1.52031993865967
4.92889951075881E-9,1.50135934352875,1.49356663227081,1.51774334907532
4.94318586063969E-9,1.49872660636902,1.49177575111389,1.51516687870026
4.95747265460977E-9,1.49597883224487,1.48998475074768,1.5125904083252
4.97175944857986E-9,1.49315929412842,1.48819375038147,1.51001381874084
4.98604624254995E-9,1.49030685424805,1.48719120025635,1.50743722915649
5.00033259243082E-9,1.48753261566162,1.48618865013123,1.50486075878143
5.01461938640091E-9,1.484858751297,1.4851861000061,1.50228428840637
5.028906180371E-9,1.48229324817657,1.48418354988098,1.49970769882202
5.04319253025187E-9,1.4798424243927,1.48337125778198,1.47658884525299
