s,DDR3_DQS3_P_U5.C7_NoTerm,DDR3_DQS3_P_U2.V2_NoTerm
0,0.365499645471573,0.365541368722916
2.76936473753153E-10,0.365526348352432,0.365540027618408
5.53872947506306E-10,0.36553692817688,0.365533441305161
8.3080942125946E-10,0.36553481221199,0.36553281545639
1.10774589501261E-9,0.365533471107483,0.365534126758575
1.38468236876577E-9,0.365533769130707,0.365533649921417
1.66161884251892E-9,0.365533709526062,0.365534037351608
1.93855531627207E-9,0.365533947944641,0.365533173084259
2.21549179002523E-9,1.11177456378937,0.365534424781799
2.49242826377838E-9,1.24725437164307,0.710378766059875
2.76936473753153E-9,0.974083065986633,1.07703113555908
3.04630121128469E-9,1.12434840202332,1.15065085887909
3.32323768503784E-9,1.10348951816559,1.16473317146301
3.60017415879099E-9,1.15809273719788,1.14058744907379
3.87711063254415E-9,1.14997029304504,1.14103901386261
4.1540473283419E-9,1.14293122291565,1.14500951766968
4.43098358005045E-9,1.14436173439026,1.14565658569336
4.70792027584821E-9,1.14494049549103,1.14499294757843
4.98485652755676E-9,1.14545261859894,1.14503121376038
5.26179322335452E-9,0.252741038799286,1.14495861530304
5.53872947506306E-9,0.223078727722168,0.732838571071625
5.81566617086082E-9,0.588872611522675,0.412403345108032
6.09260242256937E-9,0.393322974443436,0.32837325334549
6.36953911836713E-9,0.40843454003334,0.344943702220917
6.64647537007568E-9,0.354431837797165,0.361250102519989
6.92341206587344E-9,0.356477439403534,0.369521945714951
7.20034831758198E-9,0.366014808416367,0.366584688425064
7.47728456929053E-9,0.366321802139282,0.365066170692444
7.75422126508829E-9,0.365920841693878,0.365443855524063
8.03115796088605E-9,0.365127980709076,0.365486919879913
8.30809465668381E-9,0.365789115428925,0.365632086992264
8.58503046430314E-9,0.365266025066376,0.365458846092224
8.8619671601009E-9,0.365815222263336,0.365604013204575
9.13890385589866E-9,0.365258276462555,0.36546066403389
9.41584055169642E-9,0.365804970264435,0.365606039762497
9.69277635931576E-9,0.365264087915421,0.365462273359299
9.96971305511352E-9,0.365800887346268,0.365604400634766
1.02466497509113E-8,0.365268856287003,0.365463465452194
