s,DDR3_DQ00_U4.E3_NoTerm,DDR3_DQ00_U2.D1_NoTerm
0,0.36549973487854,0.365541219711304
1.1601766769509E-10,0.36549973487854,0.365541219711304
2.32035335390179E-10,0.365517675876617,0.365540355443954
3.48053003085269E-10,0.365533441305161,0.365540087223053
4.64070670780359E-10,0.365532845258713,0.365535855293274
5.80088310719873E-10,0.365534901618958,0.365532636642456
6.96106006170538E-10,0.365537405014038,0.365533053874969
8.12123646110052E-10,0.365536421537399,0.365532726049423
9.28141341560718E-10,0.365533709526062,0.365533202886581
1.04415898150023E-9,0.365533113479614,0.365532666444778
1.16017662143975E-9,0.365534424781799,0.365534543991089
1.27619437240156E-9,0.365533143281937,0.365534126758575
1.39221201234108E-9,0.36553293466568,0.365534335374832
1.50822965228059E-9,0.365534156560898,0.365533709526062
1.6242472922201E-9,0.365534067153931,0.365534573793411
1.74026504318192E-9,0.365533769130707,0.365532726049423
1.85628268312144E-9,0.365534126758575,0.365533322095871
1.97230032306095E-9,0.365533471107483,0.36553281545639
2.08831796300046E-9,0.62532651424408,0.365534096956253
2.20433560293998E-9,1.11016094684601,0.365533769130707
2.32035324287949E-9,1.28138768672943,0.429022938013077
2.43637110486361E-9,1.25493061542511,0.644088089466095
2.55238874480312E-9,1.20644950866699,0.90855747461319
2.66840638474264E-9,1.02923083305359,1.05630540847778
2.78442402468215E-9,0.951932609081268,1.11651003360748
2.90044166462167E-9,1.03959429264069,1.16219866275787
3.01645930456118E-9,1.07306432723999,1.17562711238861
3.1324769445007E-9,0.65616500377655,1.15552365779877
3.24849458444021E-9,0.258717894554138,1.13682162761688
3.36451244642433E-9,0.261982858181,1.02708172798157
3.48053008636384E-9,0.25516015291214,0.760451972484589
3.59654772630336E-9,0.355060309171677,0.521411955356598
3.71256536624287E-9,0.538778483867645,0.42267894744873
3.82858322822699E-9,0.537791848182678,0.373588532209396
3.9446006461219E-9,0.429377138614655,0.333428591489792
4.06061850810602E-9,0.405715435743332,0.335570752620697
4.17663592600093E-9,0.405627638101578,0.359040826559067
4.29265378798505E-9,0.365177273750305,0.364073216915131
4.40867120587995E-9,0.345777213573456,0.362230747938156
4.52468906786407E-9,0.363581120967865,0.368032425642014
4.64070648575898E-9,0.367715507745743,0.370534420013428
4.7567243477431E-9,0.359317421913147,0.366229653358459
4.87274220972722E-9,0.36305770277977,0.364875137805939
4.98875962762213E-9,0.369597017765045,0.366463541984558
5.10477748960625E-9,0.366365164518356,0.365881055593491
