s,DDR3_DQ17_U5.F7_NoTerm,DDR3_DQ17_U2.T3_NoTerm
0,0.438071578741074,0.438110262155533
7.49347736639372E-11,0.438071578741074,0.438110262155533
1.49869547327874E-10,0.43807715177536,0.438110262155533
2.24804314052918E-10,0.438087552785873,0.438109904527664
2.99739094655749E-10,0.438094943761826,0.438109546899796
3.7467387525858E-10,0.438100337982178,0.438108563423157
4.49608628105835E-10,0.438103020191193,0.43810760974884
5.24543408708666E-10,0.438103049993515,0.438105583190918
5.99478189311498E-10,0.438103854656219,0.438103586435318
6.74412969914329E-10,0.438104391098022,0.438102960586548
7.4934775051716E-10,0.438105255365372,0.4381023645401
8.2428247560884E-10,0.43810498714447,0.438102424144745
8.99217256211671E-10,0.438105523586273,0.438102513551712
9.74152092325653E-10,0.438103795051575,0.4381023645401
1.04908681741733E-9,0.438103824853897,0.438102245330811
1.12402154250901E-9,0.438103437423706,0.438102543354034
1.198956378623E-9,0.438103675842285,0.438102841377258
1.27389110371467E-9,0.438103169202805,0.438102602958679
1.34882593982866E-9,0.438103914260864,0.438102334737778
1.42376066492034E-9,0.438102692365646,0.43810299038887
1.49869550103432E-9,0.438103318214417,0.438103675842285
1.573630226126E-9,0.4381023645401,0.438103407621384
1.64856495121768E-9,0.438103854656219,0.438103139400482
1.72349978733166E-9,0.438103079795837,0.438103348016739
1.79843451242334E-9,0.438104093074799,0.438103556632996
1.87336923751502E-9,0.438103526830673,0.438103079795837
1.94830418465131E-9,0.438104242086411,0.438102602958679
2.02323890974299E-9,0.472038388252258,0.438103377819061
2.09817363483467E-9,0.720586597919464,0.438104152679443
2.17310835992635E-9,1.08920800685883,0.441994220018387
2.24804308501803E-9,1.28809177875519,0.44588428735733
2.32297803215431E-9,1.32518792152405,0.523432612419128
2.39791275724599E-9,1.3167085647583,0.600980699062347
2.47284748233767E-9,1.31405997276306,0.754946947097778
2.54778220742935E-9,1.27395749092102,0.908913135528564
2.62271715456563E-9,1.20354163646698,1.01847946643829
2.69765187965731E-9,1.14460694789886,1.12804555892944
2.77258660474899E-9,1.08766174316406,1.16841614246368
2.84752132984067E-9,1.07600402832031,1.20878672599792
2.92245605493235E-9,1.10774886608124,1.22729814052582
2.99739100206864E-9,1.13925135135651,1.24580955505371
3.07232572716032E-9,1.1742115020752,1.2510392665863
3.147260452252E-9,1.19333684444427,1.25626885890961
3.22219517734368E-9,1.20070576667786,1.24961686134338
3.29712990243536E-9,1.20983457565308,1.24296498298645
3.37206484957164E-9,1.21851909160614,1.23731076717377
3.44699957466332E-9,1.22611725330353,1.23165655136108
3.521934299755E-9,1.23272967338562,1.23010313510895
3.59686902484668E-9,1.23497474193573,1.22854971885681
3.67180397198297E-9,1.23340380191803,1.2275652885437
3.74673847503004E-9,1.23193848133087,1.22658085823059
3.82167320012172E-9,1.22994101047516,1.22607338428497
3.89660836930261E-9,1.22910821437836,1.22556591033936
3.97154309439429E-9,1.22916257381439,1.22603106498718
4.04647781948597E-9,1.22887587547302,1.22649610042572
4.12141254457765E-9,1.22844791412354,1.22694802284241
4.19634726966933E-9,1.22794580459595,1.22739994525909
4.27128199476101E-9,1.2273588180542,1.22749090194702
4.34621671985269E-9,1.22715628147125,1.22758197784424
4.42115144494437E-9,1.22726190090179,1.22765016555786
4.49608617003605E-9,1.22738265991211,1.22771847248077
4.57102133921694E-9,1.22756624221802,1.2277809381485
4.64595606430862E-9,1.22762942314148,1.22784340381622
4.7208907894003E-9,1.22760212421417,1.22781729698181
4.79582551449198E-9,1.22760725021362,1.22779107093811
4.87076023958366E-9,1.22762489318848,1.2277557849884
4.94569496467534E-9,1.22766256332397,1.22772037982941
5.02062968976702E-9,1.19900238513947,1.22771668434143
5.0955644148587E-9,0.9570352435112,1.22771298885345
5.17049913995038E-9,0.573467552661896,1.22441470623016
5.24543430913127E-9,0.357700198888779,1.22111642360687
5.32036903422295E-9,0.337048292160034,1.14377009868622
5.39530375931463E-9,0.341777056455612,1.06642377376556
5.47023848440631E-9,0.344618499279022,0.911149919033051
5.54517320949799E-9,0.386469751596451,0.755876064300537
5.62010793458967E-9,0.461989253759384,0.645003080368042
5.69504265968135E-9,0.525778293609619,0.534130036830902
5.76997738477303E-9,0.583824276924133,0.49381560087204
5.84491210986471E-9,0.594710409641266,0.453501164913177
5.91984683495639E-9,0.563137114048004,0.436347931623459
5.99478200413728E-9,0.53193598985672,0.419194608926773
6.06971672922896E-9,0.496090412139893,0.415289521217346
