s,DDR3_DQS2_N_U5.G3_NoTerm,DDR3_DQS2_N_U2.P2_NoTerm
0,0.365499645471573,0.365541219711304
6.72477629137802E-11,0.365499645471573,0.365541219711304
1.3449552582756E-10,0.365499645471573,0.365541100502014
2.01743274863553E-10,0.365505427122116,0.365540981292725
2.68991051655121E-10,0.365511208772659,0.365540653467178
3.36238814568901E-10,0.365520477294922,0.365540474653244
4.03486549727106E-10,0.365529745817184,0.365539640188217
4.70734340396461E-10,0.365532130002975,0.365539342164993
5.37982103310242E-10,0.365534514188766,0.365537524223328
6.05229866224022E-10,0.365534424781799,0.365535229444504
6.72477629137802E-10,0.365534365177155,0.365533709526062
7.39725336540431E-10,0.365535527467728,0.365533173084259
8.06973099454211E-10,0.365536689758301,0.365533918142319
8.74220862367991E-10,0.365536242723465,0.365532547235489
9.41468680792923E-10,0.365535795688629,0.36553293466568
1.0087164437067E-9,0.365535080432892,0.365532398223877
1.07596420662048E-9,0.365534394979477,0.365533530712128
1.14321196953426E-9,0.365533590316772,0.365533411502838
1.21045973244804E-9,0.365532785654068,0.36553367972374
1.27770749536182E-9,0.365533143281937,0.365533411502838
1.3449552582756E-9,0.365533500909805,0.365534156560898
1.41220291016708E-9,0.365533232688904,0.36553293466568
1.47945067308086E-9,0.365532964468002,0.365533381700516
1.54669843599464E-9,0.365533232688904,0.365532845258713
1.61394619890842E-9,0.365533471107483,0.365534007549286
1.6811939618222E-9,0.365532904863358,0.365533769130707
1.74844172473598E-9,0.365532338619232,0.365534037351608
1.81568948764976E-9,0.365532904863358,0.365533500909805
1.88293736158585E-9,0.365533500909805,0.365534484386444
1.95018512449963E-9,0.379786968231201,0.365532666444778
2.01743288741341E-9,0.394040405750275,0.365533173084259
2.08468065032719E-9,0.632216453552246,0.365532577037811
2.15192841324097E-9,0.870392441749573,0.366954833269119
2.21917617615475E-9,1.07827913761139,0.370549529790878
2.28642393906853E-9,1.28616583347321,0.398989826440811
2.35367170198231E-9,1.27548718452454,0.464354395866394
2.42091946489609E-9,1.26480841636658,0.56773579120636
2.48816722780987E-9,1.24358558654785,0.709655284881592
2.55541499072365E-9,1.22236287593842,0.847372770309448
2.62266275363743E-9,1.15436148643494,0.958163142204285
2.68991051655121E-9,1.08636021614075,1.03692471981049
2.75715827946499E-9,1.03920114040375,1.08107054233551
2.82440582033416E-9,0.992042303085327,1.10999095439911
2.89165358324794E-9,1.01246798038483,1.13392174243927
2.95890134616172E-9,1.03289365768433,1.15186965465546
3.0261491090755E-9,1.06627345085144,1.1633049249649
3.09339687198928E-9,1.09965312480927,1.16727435588837
3.16064463490306E-9,1.10831904411316,1.16326487064362
3.22789239781685E-9,1.11698496341705,1.15668988227844
3.29514016073063E-9,1.12537658214569,1.15042972564697
3.36238792364441E-9,1.13376820087433,1.14637112617493
3.42963568655819E-9,1.14280641078949,1.14550888538361
3.49688344947197E-9,1.15184462070465,1.14545381069183
3.56413121238575E-9,1.15164422988892,1.14493227005005
3.63137897529953E-9,1.15144395828247,1.14412915706635
3.69862673821331E-9,1.1486496925354,1.14314639568329
3.76587472317169E-9,1.14585530757904,1.14268887042999
3.83312226404087E-9,1.14598071575165,1.14313077926636
3.90037024899925E-9,1.14610624313354,1.14387726783752
3.96761778986843E-9,1.14612126350403,1.14461088180542
4.03486577482681E-9,1.14613628387451,1.14505779743195
4.10211331569599E-9,1.14521336555481,1.14507389068604
4.16936130065437E-9,1.14429044723511,1.1449773311615
4.23660884152355E-9,1.14429521560669,1.14493787288666
4.30385682648193E-9,1.14430010318756,1.14498269557953
4.37110436735111E-9,1.14469850063324,1.14512622356415
4.43835235230949E-9,1.14509689807892,1.14522790908813
4.50559989317867E-9,1.14505529403687,1.14521288871765
4.57284787813705E-9,1.14501368999481,1.14514529705048
4.64009541900623E-9,1.14494299888611,1.14505934715271
4.70734340396461E-9,1.14487218856812,1.14500606060028
4.77459094483379E-9,1.1449818611145,1.14501249790192
4.84183892979217E-9,1.14509165287018,1.14503598213196
4.90908647066135E-9,1.14511013031006,1.14505398273468
4.97633445561974E-9,1.14512872695923,1.14505660533905
5.04358199648891E-9,0.955276310443878,1.14503872394562
5.1108299814473E-9,0.765422582626343,1.14502239227295
5.17807752231647E-9,0.508917927742004,1.14501965045929
5.24532550727486E-9,0.252411633729935,1.12609994411469
5.31257304814403E-9,0.242473170161247,1.07820701599121
5.37982103310242E-9,0.232534646987915,0.990043163299561
5.44706857397159E-9,0.2511166036129,0.855703711509705
5.51431655892998E-9,0.269698679447174,0.715250492095947
5.58156409979915E-9,0.331313133239746,0.589935898780823
5.64881164066833E-9,0.392927557229996,0.496132224798203
5.71605962562671E-9,0.450804948806763,0.442407488822937
5.78330716649589E-9,0.508681952953339,0.408084481954575
5.85055515145427E-9,0.498839288949966,0.382229328155518
5.91780269232345E-9,0.488996684551239,0.362621366977692
5.98505067728183E-9,0.45343941450119,0.348080337047577
6.05229821815101E-9,0.417882353067398,0.340880930423737
6.11954620310939E-9,0.406337529420853,0.342231422662735
6.18679374397857E-9,0.394792795181274,0.347628384828568
6.25404172893695E-9,0.388015925884247,0.354681700468063
6.32128926980613E-9,0.381239116191864,0.360151410102844
6.38853725476451E-9,0.371528804302216,0.36232778429985
6.45578479563369E-9,0.361818552017212,0.363228291273117
6.52303278059208E-9,0.360112398862839,0.363927006721497
6.59028032146125E-9,0.358406275510788,0.364858061075211
6.65752830641964E-9,0.361071288585663,0.366248309612274
6.72477584728881E-9,0.363736271858215,0.367234170436859
6.7920238322472E-9,0.364069163799286,0.367357492446899
6.85927137311637E-9,0.364402025938034,0.366987973451614
6.92651935807476E-9,0.364142954349518,0.366322964429855
6.99376689894393E-9,0.363883912563324,0.365801781415939
7.06101488390232E-9,0.36476594209671,0.365656644105911
7.12826242477149E-9,0.365647941827774,0.365672141313553
7.19551040972988E-9,0.365943610668182,0.365733414888382
7.26275795059905E-9,0.366239249706268,0.365723133087158
7.33000593555744E-9,0.365908443927765,0.36557948589325
7.39725347642661E-9,0.365577638149261,0.365443170070648
7.46450101729579E-9,0.365545690059662,0.365388870239258
7.53174944634338E-9,0.365513741970062,0.365401148796082
7.59899698721256E-9,0.365616112947464,0.365471541881561
7.66624452808173E-9,0.365718483924866,0.365531951189041
7.73349206895091E-9,0.365640014410019,0.36554628610611
7.8007404979985E-9,0.365561544895172,0.365537166595459
7.86798803886768E-9,0.365506768226624,0.365516632795334
7.93523557973685E-9,0.365452021360397,0.365506738424301
8.00248312060603E-9,0.365493446588516,0.365519046783447
8.06973154965362E-9,0.365534901618958,0.36553543806076
8.1369790905228E-9,0.365543484687805,0.365546345710754
8.20422663139198E-9,0.365552097558975,0.365548580884933
8.27147417226115E-9,0.365533202886581,0.365540593862534
8.33872260130875E-9,0.365514278411865,0.365532577037811
8.40597014217792E-9,0.365520000457764,0.365529924631119
8.4732176830471E-9,0.36552569270134,0.365530878305435
8.54046522391627E-9,0.365534752607346,0.365533024072647
8.60771365296387E-9,0.365543812513351,0.36553618311882
8.67496119383304E-9,0.365538835525513,0.365535795688629
8.74220873470222E-9,0.365533828735352,0.365534722805023
8.80945627557139E-9,0.365531414747238,0.365532726049423
8.87670470461899E-9,0.365528970956802,0.365531891584396
8.94395224548816E-9,0.365532100200653,0.365534007549286
9.01119978635734E-9,0.365535199642181,0.365534484386444
9.07844732722651E-9,0.36553543806076,0.365534007549286
9.14569575627411E-9,0.36553567647934,0.365534901618958
9.21294329714328E-9,0.365534126758575,0.365532726049423
9.28019083801246E-9,0.365532577037811,0.365532726049423
9.34743837888163E-9,0.36553281545639,0.365532904863358
9.41468680792923E-9,0.365533083677292,0.365532904863358
9.4819343487984E-9,0.365533202886581,0.365533322095871
9.54918188966758E-9,0.365533322095871,0.365532994270325
9.61642943053675E-9,0.365533322095871,0.365533828735352
9.68367785958435E-9,0.365533322095871,0.365532457828522
9.75092540045353E-9,0.365533292293549,0.36553293466568
9.8181729413227E-9,0.365533262491226,0.365532428026199
9.88542048219188E-9,0.365533411502838,0.365533739328384
9.95266891123947E-9,0.365533590316772,0.36553367972374
1.00199164521086E-8,0.365533590316772,0.365533769130707
