s,DDR3_CLK0_N_DDR3_CLK0_P_U5.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N5_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U5.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N4_NoTerm
2.87704282619927E-9,1.76791346073151,1.76791453361511,1.10948264598846,1.76781260967255,1.76781260967255,1.10953688621521
2.91645441130584E-9,1.82693636417389,1.82693755626678,1.16507196426392,1.82683777809143,1.82683777809143,1.1651086807251
2.95586577436779E-9,1.86568236351013,1.86568307876587,1.2206609249115,1.86556553840637,1.86556553840637,1.22068023681641
2.99527735947436E-9,1.88244330883026,1.88244330883026,1.27625024318695,1.88232886791229,1.88232886791229,1.27625203132629
3.03468894458092E-9,1.88723528385162,1.88723468780518,1.26652574539185,1.88714671134949,1.88714671134949,1.26651227474213
3.07410052968748E-9,1.88430595397949,1.88430488109589,1.25680112838745,1.8842339515686,1.8842339515686,1.25677263736725
3.11351211479405E-9,1.87112021446228,1.87111914157867,1.24707663059235,1.87105250358582,1.87105250358582,1.24703288078308
3.15292347785601E-9,1.84687614440918,1.84687554836273,1.23735213279724,1.84681856632233,1.84681856632233,1.2372932434082
3.19233506296257E-9,1.81498563289642,1.81498563289642,1.15681660175323,1.81494534015656,1.81494534015656,1.15674531459808
3.23174664806913E-9,1.77210986614227,1.77211046218872,1.07628118991852,1.77206373214722,1.77206373214722,1.07619738578796
3.2711582331757E-9,1.70729267597198,1.7072936296463,0.995745658874512,1.70721423625946,1.70721423625946,0.995649456977844
3.31056981828226E-9,1.62257480621338,1.6225757598877,0.91521018743515,1.62248587608337,1.62248587608337,0.915101528167725
3.34998140338882E-9,1.52928245067596,1.52928292751312,0.867277026176453,1.52921450138092,1.52921450138092,0.867161273956299
3.38939276645078E-9,1.4243837594986,1.4243837594986,0.819344162940979,1.42431616783142,1.42431616783142,0.819221258163452
3.42880435155735E-9,1.29354429244995,1.2935436964035,0.771411001682281,1.29343950748444,1.29343950748444,0.771281003952026
3.46821593666391E-9,1.13767898082733,1.1376781463623,0.723477840423584,1.13755357265472,1.13755357265472,0.723340749740601
3.50762752177047E-9,0.970282852649689,0.970282018184662,0.709083437919617,0.970167577266693,0.970167577266693,0.708944380283356
3.54703910687704E-9,0.801354467868805,0.801354050636292,0.694689095020294,0.801263391971588,0.801263391971588,0.694547951221466
3.586450469939E-9,0.638964116573334,0.638964176177979,0.680294811725616,0.63890677690506,0.63890677690506,0.680151641368866
3.62586205504556E-9,0.479883044958115,0.47988361120224,0.665900409221649,0.47984191775322,0.47984191775322,0.665755271911621
3.66527364015212E-9,0.317333042621613,0.317333847284317,0.633839964866638,0.317282915115356,0.317282915115356,0.633708775043488
3.70468522525869E-9,0.161187738180161,0.161188438534737,0.601779580116272,0.161150813102722,0.161150813102722,0.601662218570709
3.74409658832064E-9,0.0327037535607815,0.0327041186392307,0.56971937417984,0.0327222570776939,0.0327222570776939,0.56961590051651
3.78350817342721E-9,-0.069659560918808,-0.0696596726775169,0.537658929824829,-0.0696107894182205,-0.0696107894182205,0.537569403648376
3.82291975853377E-9,-0.16353651881218,-0.16353702545166,0.474724769592285,-0.163501247763634,-0.163501247763634,0.474657773971558
3.86233134364034E-9,-0.248704448342323,-0.248705163598061,0.411790639162064,-0.248668074607849,-0.248668074607849,0.411746174097061
3.9017429287469E-9,-0.311048418283463,-0.311049044132233,0.348856508731842,-0.310983777046204,-0.310983777046204,0.348834574222565
3.94115451385346E-9,-0.349355816841125,-0.349356114864349,0.285922348499298,-0.349283933639526,-0.349283933639526,0.285922944545746
3.98056609896003E-9,-0.375591814517975,-0.375591695308685,0.23097924888134,-0.37554070353508,-0.37554070353508,0.230988562107086
4.01997768406659E-9,-0.393698155879974,-0.393697679042816,0.176036149263382,-0.393657654523849,-0.393657654523849,0.176054194569588
4.05938926917315E-9,-0.399372220039368,-0.399371564388275,0.121093057096004,-0.399327218532562,-0.399327218532562,0.121119812130928
4.09880085427972E-9,-0.391607224941254,-0.391606658697128,0.0661499574780464,-0.391565412282944,-0.391565412282944,0.066185437142849
4.13821199529707E-9,-0.375125080347061,-0.375124841928482,0.0362696759402752,-0.375096887350082,-0.375096887350082,0.0363064371049404
4.17762358040363E-9,-0.352530807256699,-0.352530956268311,0.00638906005769968,-0.352510005235672,-0.352510005235672,0.00642709899693727
4.2170351655102E-9,-0.323212206363678,-0.323212653398514,-0.023491557687521,-0.323192328214645,-0.323192328214645,-0.0234522391110659
4.25644675061676E-9,-0.287225365638733,-0.287225931882858,-0.0533721745014191,-0.287209928035736,-0.287209928035736,-0.0533315762877464
4.29585833572332E-9,-0.246457830071449,-0.246458321809769,-0.0640684738755226,-0.246451154351234,-0.246451154351234,-0.064029760658741
4.33526992082989E-9,-0.20303963124752,-0.203039839863777,-0.0747647732496262,-0.203042089939117,-0.203042089939117,-0.074727937579155
4.37468150593645E-9,-0.15898010134697,-0.158979937434196,-0.0854610651731491,-0.15899159014225,-0.15899159014225,-0.0854261219501495
4.41409309104301E-9,-0.114252179861069,-0.114251747727394,-0.0961573645472527,-0.114269353449345,-0.114269353449345,-0.0961243063211441
4.45350467614958E-9,-0.0679515898227692,-0.0679510608315468,-0.0955954417586327,-0.0679705217480659,-0.0679705217480659,-0.0955652743577957
4.49291626125614E-9,-0.0223881360143423,-0.0223877113312483,-0.0950335264205933,-0.0224140733480453,-0.0224140733480453,-0.0950062498450279
4.5323278463627E-9,0.0175817236304283,0.017581881955266,-0.0944716036319733,0.0175413582473993,0.0175413582473993,-0.0944472178816795
4.57173898738006E-9,0.0522266812622547,0.0522265210747719,-0.0939096882939339,0.0521799847483635,0.0521799847483635,-0.0938881933689117
4.61115057248662E-9,0.0854085236787796,0.0854081213474274,-0.0849132612347603,0.0853666290640831,0.0853666290640831,-0.0848954319953918
4.65056215759319E-9,0.115923836827278,0.115923352539539,-0.0759168341755867,0.115880779922009,0.115880779922009,-0.0759026706218719
4.68997374269975E-9,0.138507530093193,0.138507157564163,-0.0669204071164131,0.138453513383865,0.138453513383865,-0.0669099166989326
4.72938532780631E-9,0.153188452124596,0.153188332915306,-0.0579239800572395,0.153131812810898,0.153131812810898,-0.0579171553254128
4.76879691291288E-9,0.164475530385971,0.164475694298744,-0.0465037822723389,0.164427787065506,0.164427787065506,-0.046500202268362
4.80820849801944E-9,0.172760367393494,0.172760739922523,-0.0350835807621479,0.172717019915581,0.172717019915581,-0.0350832492113113
4.847620083126E-9,0.17486946284771,0.174869894981384,-0.0236633829772472,0.174823060631752,0.174823060631752,-0.0236662924289703
4.88703166823257E-9,0.170577824115753,0.170578137040138,-0.0122431833297014,0.17053334414959,0.17053334414959,-0.0122493393719196
4.92644325333913E-9,0.162838906049728,0.162839010357857,-0.0122431833297014,0.16280323266983,0.16280323266983,-0.0122493393719196
4.96585483844569E-9,0.152763500809669,0.152763336896896,-0.0122431833297014,0.152734205126762,0.152734205126762,-0.0122493393719196
