s,DDR3_DQS1_N_U4.B7_NoTerm,DDR3_DQS1_N_U2.J2_NoTerm
0,0.365499675273895,0.365541219711304
2.33114333392237E-10,0.36552557349205,0.365539997816086
4.66228666784474E-10,0.365537226200104,0.365533471107483
6.99342972421135E-10,0.36553543806076,0.365532517433167
9.32457333568948E-10,0.365533471107483,0.365534365177155
1.16557163920561E-9,0.365533828735352,0.365533709526062
1.39868594484227E-9,0.365533769130707,0.365534216165543
1.63180025047893E-9,0.365534096956253,0.365533053874969
1.8649146671379E-9,0.365533381700516,0.365533590316772
2.09802886175225E-9,0.730023503303528,0.365533113479614
2.33114327841122E-9,1.23722743988037,0.522367477416992
2.56425747302558E-9,1.16181111335754,0.891742765903473
2.79737188968454E-9,0.977774381637573,1.15145933628082
3.0304860842989E-9,1.07991421222687,1.17692172527313
3.26360050095786E-9,1.15715301036835,1.14535999298096
3.49671491761683E-9,1.15676939487457,1.13840222358704
3.72982933427579E-9,1.14427781105042,1.14361357688904
3.96294330684555E-9,1.14271211624146,1.14588630199432
4.19605772350451E-9,1.1447422504425,1.14539885520935
4.42917214016347E-9,1.14540147781372,1.1449316740036
4.66228655682244E-9,1.14514577388763,1.14495480060577
4.8954009734814E-9,1.14498722553253,1.14504492282867
5.12851494605115E-9,0.714192926883698,1.14505517482758
5.36162936271012E-9,0.235611259937286,0.959701776504517
5.59474377936908E-9,0.394379705190659,0.575009524822235
5.82785819602805E-9,0.500728666782379,0.367833167314529
6.0609721685978E-9,0.440087020397186,0.331930905580521
6.29408658525676E-9,0.362777680158615,0.357747048139572
6.52720100191573E-9,0.354265242815018,0.369887948036194
6.76031541857469E-9,0.363713920116425,0.367560237646103
6.99342983523366E-9,0.367384016513824,0.365304470062256
7.22654380780341E-9,0.365842878818512,0.365076512098312
7.45965866855158E-9,0.365623593330383,0.365573704242706
7.69277264112134E-9,0.365173101425171,0.36552819609642
7.92588661369109E-9,0.365776360034943,0.365612119436264
8.15900147443926E-9,0.365315973758698,0.365463972091675
8.39211544700902E-9,0.365771889686584,0.365592300891876
8.62523030775719E-9,0.365298271179199,0.365472346544266
8.85834428032695E-9,0.365763127803802,0.365595430135727
9.0914582528967E-9,0.365305632352829,0.365473181009293
9.32457311364487E-9,0.36575984954834,0.365593463182449
9.55768708621463E-9,0.365309834480286,0.365474283695221
9.7908019469628E-9,0.36575523018837,0.365592420101166
1.00239159195326E-8,0.365314185619354,0.365475475788116
