s,DDR3_DQ24_U5.D7_NoTerm,DDR3_DQ24_U2.AA3_NoTerm
0,0.36549973487854,0.365540415048599
9.58187557076329E-11,0.36549973487854,0.365540415048599
1.91637511415266E-10,0.365501552820206,0.365540325641632
2.87456281000686E-10,0.36552157998085,0.365539640188217
3.83275022830531E-10,0.365535318851471,0.365539520978928
4.79093764660377E-10,0.365532159805298,0.365537971258163
5.74912562001373E-10,0.365534067153931,0.365533381700516
6.70731303831218E-10,0.365534573793411,0.36553168296814
7.66550045661063E-10,0.365534991025925,0.365533381700516
8.62368787490908E-10,0.365538626909256,0.365533262491226
9.58187529320753E-10,0.365534514188766,0.365533500909805
1.05400632666175E-9,0.365531504154205,0.365532845258713
1.14982512400275E-9,0.365534394979477,0.365533322095871
1.24564381032144E-9,0.365533530712128,0.365533381700516
1.34146260766244E-9,0.365534722805023,0.365533977746964
1.43728129398113E-9,0.365534394979477,0.365532517433167
1.53310009132213E-9,0.365532398223877,0.365533351898193
1.62891888866312E-9,0.365533083677292,0.365532457828522
1.72473757498182E-9,0.365533530712128,0.365534454584122
1.82055637232281E-9,0.365532368421555,0.365534394979477
1.91637505864151E-9,0.365533113479614,0.365533918142319
2.01219396700481E-9,0.381746917963028,0.365534096956253
2.1080126533235E-9,0.680861949920654,0.365533649921417
2.20383133964219E-9,1.12443387508392,0.365919262170792
2.29965024800549E-9,1.2637882232666,0.37749382853508
2.39546893432419E-9,1.24859035015106,0.476248204708099
2.49128762064288E-9,1.2510906457901,0.70818042755127
2.58710652900618E-9,1.22492516040802,0.940650999546051
2.68292521532487E-9,1.09728682041168,1.05819845199585
2.77874390164357E-9,0.929022610187531,1.10048985481262
2.87456258796226E-9,0.93889057636261,1.1245836019516
2.97038149632556E-9,1.06184184551239,1.15899920463562
3.06620018264425E-9,1.11819279193878,1.18635153770447
3.16201886896295E-9,1.12148022651672,1.16930258274078
3.25783777732624E-9,1.10308253765106,1.1410049200058
3.35365646364494E-9,1.11670911312103,1.13714325428009
3.44947514996363E-9,1.17023551464081,1.14333200454712
3.54529405832693E-9,1.1720917224884,1.14919626712799
3.64111274464562E-9,1.14294743537903,1.14537882804871
3.73693165300892E-9,1.13772118091583,1.13567471504211
3.83275011728301E-9,1.13945484161377,1.13913941383362
3.92856902564631E-9,1.15211415290833,1.14656722545624
4.02438793400961E-9,1.15617549419403,1.14677035808563
4.1202063982837E-9,1.13834464550018,1.145547747612
