s,DDR3_DQS1_P_U4.C7_NoTerm,DDR3_DQS1_P_U2.H2_NoTerm
0,0.365499675273895,0.365541219711304
2.32538391320425E-10,0.365525543689728,0.365539997816086
4.6507678264085E-10,0.365537226200104,0.365533471107483
6.97615132327911E-10,0.36553543806076,0.365532517433167
9.30153565281699E-10,0.365533471107483,0.365534394979477
1.16269194272434E-9,0.365533828735352,0.365533739328384
1.39523026465582E-9,0.365533769130707,0.365534216165543
1.62776869760961E-9,0.365534126758575,0.365533024072647
1.8603071305634E-9,0.365533381700516,0.365533590316772
2.09284545249488E-9,0.708963453769684,0.365533113479614
2.32538388544867E-9,1.22923517227173,0.513139128684998
2.55792231840246E-9,1.17417645454407,0.879168629646301
2.79046052931164E-9,0.974485158920288,1.14853417873383
3.02299896226543E-9,1.07624077796936,1.17778408527374
3.25553739521922E-9,1.15663063526154,1.1458135843277
3.48807582817301E-9,1.1572448015213,1.13825964927673
3.7206142611268E-9,1.14438688755035,1.14349150657654
3.95315247203598E-9,1.14266431331635,1.14587569236755
4.18569090498977E-9,1.14469885826111,1.14541637897491
4.41822933794356E-9,1.14540469646454,1.14493608474731
4.65076777089735E-9,1.14515161514282,1.14495098590851
4.88330620385113E-9,1.14499008655548,1.14504408836365
5.11584463680492E-9,0.684631049633026,1.14505505561829
5.34838306975871E-9,0.235553994774818,0.947219133377075
5.58092105862329E-9,0.421062916517258,0.5631422996521
5.81345949157708E-9,0.509333252906799,0.371672451496124
6.04599792453087E-9,0.423162966966629,0.344588726758957
6.27853635748465E-9,0.364032864570618,0.361188232898712
6.51107479043844E-9,0.357971727848053,0.368722766637802
6.74361322339223E-9,0.364591479301453,0.366905122995377
6.97615165634602E-9,0.366762518882751,0.365322023630142
7.20869008929981E-9,0.365811198949814,0.365244150161743
7.4412285222536E-9,0.36550298333168,0.365544855594635
7.67376651111817E-9,0.365369558334351,0.365552634000778
7.90630494407196E-9,0.3656205534935,0.365565240383148
8.13884337702575E-9,0.365465044975281,0.365506917238235
8.37138180997954E-9,0.365617096424103,0.36555278301239
8.60392024293333E-9,0.365451067686081,0.365512579679489
8.83645867588712E-9,0.365612894296646,0.365555286407471
9.0689971088409E-9,0.36545467376709,0.365512698888779
9.30153554179469E-9,0.365612149238586,0.365554362535477
9.53407397474848E-9,0.36545604467392,0.365513056516647
9.76661240770227E-9,0.36561045050621,0.36555403470993
9.99915084065606E-9,0.365457564592361,0.365513473749161
1.02316892736098E-8,0.365608990192413,0.365553617477417
