s,DDR3_A4_U5.P8_NoTerm,DDR3_A4_U4.P8_NoTerm,DDR3_A4_U2.K6_NoTerm
0,1.02807382518222E-6,1.02074545793585E-6,1.01262469343055E-6
4.67306922324884E-11,1.02807382518222E-6,1.02074545793585E-6,1.01262469343055E-6
9.34613844649768E-11,1.02729416084912E-6,1.02230194443109E-6,1.01262469343055E-6
1.40192080166912E-10,1.02612489172316E-6,1.02393880752061E-6,1.01269631613832E-6
1.86922768929954E-10,1.0239680250379E-6,1.02555702596874E-6,1.01276782515924E-6
2.33653457692995E-10,1.02201317986328E-6,1.02456044714927E-6,1.01318050838017E-6
2.80384160333824E-10,1.01917044048605E-6,1.0251217190671E-6,1.01359330528794E-6
3.27114862974653E-10,1.0189222621193E-6,1.0210482059847E-6,1.01399837149074E-6
3.73845537859907E-10,1.01638033811469E-6,1.02355886610894E-6,1.01440343769355E-6
4.20576240500736E-10,1.01928640106053E-6,1.01434613952733E-6,1.0149186664421E-6
4.6730691538599E-10,1.01388661732926E-6,1.02447552308149E-6,1.01543378150382E-6
5.14037645782395E-10,1.02191233963822E-6,1.00193688012951E-6,1.01549744613294E-6
5.60768320667648E-10,1.0068220035464E-6,1.03467971257487E-6,1.01556111076206E-6
6.07498995552902E-10,1.02880562735663E-6,9.7512349839235E-7,1.01576836186723E-6
6.54229725949307E-10,9.88662918643968E-7,1.07187156572763E-6,1.01597572665924E-6
7.0096040083456E-10,1.05048491150228E-6,9.06504396880337E-7,1.01550290310115E-6
7.47691075719814E-10,9.44067494401679E-7,1.18307298180298E-6,1.01502996585623E-6
7.94421750605068E-10,1.11538861347071E-6,7.16170006853645E-7,1.01539080787916E-6
8.41152481001473E-10,8.30014300845505E-7,1.50114453845163E-6,1.01575164990209E-6
8.87883155886726E-10,1.29783484226209E-6,1.78640277681552E-7,1.01471641755779E-6
9.3461383077198E-10,5.27270685779513E-7,8.39462870771968E-7,1.0136811852135E-6
9.81344561168385E-10,1.79427479451988E-6,2.2045519187941E-7,1.01482658010354E-6
1.02807529156479E-9,8.7991355712802E-7,1.71674753346451E-6,1.01597197499359E-6
1.07480591093889E-9,1.56511453042185E-6,1.41004625220376E-6,9.99103576759808E-7
1.1215366413353E-9,-2.18130153939455E-7,1.91603930943529E-6,9.82235064839188E-7
1.1682673717317E-9,5.6378019053227E-7,1.06186291759514E-6,9.82495862444921E-7
1.2149979911058E-9,1.71010640315217E-7,2.19550338442787E-6,9.82756660050654E-7
1.26172872150221E-9,1.76056187228824E-6,8.39573317534814E-7,1.02000967672211E-6
1.30845945189861E-9,1.86817703706765E-6,1.28756795447771E-7,1.05726280708041E-6
1.35519007127272E-9,1.99213923224306E-6,7.96671940861415E-7,1.03641957593936E-6
1.40192080166912E-9,1.6176395547518E-6,-1.11694347992852E-7,1.01557634479832E-6
1.44865142104322E-9,1.60406534632784E-6,2.17256797441223E-6,1.03999184375425E-6
1.49538215143963E-9,7.57970042286615E-7,1.78338632395025E-6,1.06440745639702E-6
1.54211288183603E-9,1.35644427246007E-6,2.26433303396334E-6,1.04290529634454E-6
1.58884350121014E-9,1.21088604032593E-7,1.06297864022054E-6,1.0214032499789E-6
1.63557423160654E-9,1.07534651760943E-6,1.12256122974941E-6,1.09443374185503E-6
1.68230496200295E-9,3.02678500929687E-7,8.28142844966351E-7,1.16746423373115E-6
1.72903558137705E-9,2.18539412344398E-6,8.96398489658168E-7,1.12695954612718E-6
1.77576631177345E-9,1.55099723997409E-6,2.78927672070495E-7,1.08645485852321E-6
1.82249704216986E-9,2.05932838071021E-6,1.1248969258304E-6,1.14570923415158E-6
1.86922766154396E-9,4.55773601970577E-7,9.44628482102416E-8,1.20496338240628E-6
1.91595850296267E-9,4.55014770750495E-7,1.33149649172992E-6,1.04491550700914E-6
1.96268912233677E-9,2.2569719249077E-7,1.56563100972562E-6,8.84868313733023E-7
2.00941974171087E-9,3.23573004834543E-7,9.76564706434147E-7,0.0199167467653751
2.05615058312958E-9,2.95695457452894E-7,1.40619260946551E-6,0.039832703769207
2.10288120250368E-9,9.38150776619295E-7,1.16598968702419E-7,0.147661358118057
2.14961182187778E-9,6.08496748100151E-7,3.21816031600974E-7,0.255490005016327
2.19634266329649E-9,0.00115111691411585,0.00114736624527723,0.411003679037094
2.24307328267059E-9,0.00673445733264089,0.00672470917925239,0.566516637802124
2.2898039020447E-9,0.024437140673399,0.02440988086164,0.700538218021393
2.3365347434634E-9,0.0682217851281166,0.068158857524395,0.834560394287109
2.38326536283751E-9,0.150584101676941,0.150476679205894,0.897772133350372
2.42999598221161E-9,0.275809824466705,0.275665879249573,0.960983872413635
2.47672682363032E-9,0.440336227416992,0.440185308456421,0.96380215883255
2.52345744300442E-9,0.633527040481567,0.633414804935455,0.966620445251465
2.57018806237852E-9,0.840797364711761,0.840761601924896,0.950030088424683
2.61691890379723E-9,1.04601216316223,1.0460684299469,0.933439671993256
2.66364952317133E-9,1.23540425300598,1.2355340719223,0.924230456352234
2.71038014254543E-9,1.40100812911987,1.40116536617279,0.915021240711212
2.75711098396414E-9,1.53993940353394,1.54007208347321,0.942871570587158
2.80384160333824E-9,1.65355920791626,1.65362942218781,0.97072172164917
2.85057222271234E-9,1.74402582645416,1.74403131008148,1.04198670387268
2.89730284208645E-9,1.81143128871918,1.81140339374542,1.11325168609619
2.94403368350515E-9,1.85521018505096,1.85519540309906,1.1996443271637
2.99076430287926E-9,1.87547183036804,1.87550699710846,1.28603649139404
3.03749492225336E-9,1.87386178970337,1.87395215034485,1.35662794113159
3.08422576367207E-9,1.8541419506073,1.85425841808319,1.42721962928772
3.13095638304617E-9,1.82105815410614,1.82115483283997,1.47495794296265
3.17768700242027E-9,1.77939689159393,1.77943503856659,1.52269625663757
3.22441784383898E-9,1.73307347297668,1.73304343223572,1.55239450931549
3.27114846321308E-9,1.68441390991211,1.68433976173401,1.58209264278412
3.31787908258718E-9,1.63473331928253,1.63465881347656,1.5960031747818
3.36460992400589E-9,1.58484494686127,1.58481013774872,1.60991370677948
3.41134054337999E-9,1.53572142124176,1.53574109077454,1.61014139652252
3.45807116275409E-9,1.489018201828,1.48907506465912,1.61036908626556
3.5048020041728E-9,1.4467009305954,1.4467568397522,1.60191822052002
3.5515326235469E-9,1.41072881221771,1.41074633598328,1.59346747398376
3.59826324292101E-9,1.38256943225861,1.38253211975098,1.58081257343292
3.64499408433971E-9,1.3628032207489,1.36272418498993,1.56815767288208
