s,DDR3_A4_U5.P8_NoTerm,DDR3_A4_U4.P8_NoTerm,DDR3_A4_U2.K6_NoTerm
3.69172470371382E-9,1.35125923156738,1.35117304325104,1.55333662033081
3.73845532308792E-9,1.34713733196259,1.34708082675934,1.53851556777954
3.78518594246202E-9,1.34937620162964,1.34936916828156,1.5231226682663
3.83191700592533E-9,1.35695683956146,1.35699284076691,1.50772953033447
3.87864762529944E-9,1.36896979808807,1.36902117729187,1.49424195289612
3.92537824467354E-9,1.38466608524323,1.38469958305359,1.48075449466705
3.97210886404764E-9,1.40330505371094,1.40330028533936,1.47149920463562
4.01883948342174E-9,1.42402958869934,1.42398905754089,1.4622437953949
4.06557010279585E-9,1.44586551189423,1.44580793380737,1.45792889595032
4.11230116625916E-9,1.4677015542984,1.46766376495361,1.45361387729645
4.15903178563326E-9,1.48849141597748,1.488489985466,1.45351123809814
4.20576240500736E-9,1.50735092163086,1.50738644599915,1.45340871810913
4.25249302438147E-9,1.52364373207092,1.52369809150696,1.45659482479095
4.29922364375557E-9,1.53702962398529,1.5370762348175,1.45978093147278
4.34595426312967E-9,1.5473815202713,1.54739999771118,1.46537518501282
4.39268532659298E-9,1.55471742153168,1.55470359325409,1.47096955776215
4.43941594596708E-9,1.55914127826691,1.55910837650299,1.47774887084961
4.48614656534119E-9,1.56079459190369,1.56076502799988,1.48452830314636
4.53287718471529E-9,1.55987238883972,1.55986487865448,1.49107265472412
4.57960780408939E-9,1.55663359165192,1.55665349960327,1.49761688709259
4.62633842346349E-9,1.5514121055603,1.55144965648651,1.50281858444214
4.67306948692681E-9,1.54462575912476,1.5446617603302,1.50802028179169
4.71980010630091E-9,1.53673648834229,1.5367534160614,1.51144099235535
4.76653072567501E-9,1.52822017669678,1.52821111679077,1.51486158370972
4.81326134504911E-9,1.51952028274536,1.51949203014374,1.51649916172028
4.85999196442322E-9,1.51101088523865,1.51097965240479,1.51813673973083
4.90672258379732E-9,1.50299870967865,1.50298070907593,1.51809144020081
4.95345364726063E-9,1.49572348594666,1.49572646617889,1.51804602146149
5.00018426663473E-9,1.48937296867371,1.48939275741577,1.50091814994812
5.04691488600884E-9,1.4840943813324,1.48411810398102,1.48379027843475
5.09364550538294E-9,1.47998881340027,1.48000204563141,1.40134859085083
5.14037612475704E-9,1.47710716724396,1.47710204124451,1.31890678405762
5.18710674413114E-9,1.4745409488678,1.4745215177536,1.17789161205292
5.23383780759445E-9,1.46964335441589,1.46962416172028,1.03687500953674
5.28056842696856E-9,1.45653450489044,1.45653700828552,0.890527844429016
5.32729904634266E-9,1.42486751079559,1.4249130487442,0.744180679321289
5.37402966571676E-9,1.36407172679901,1.36416792869568,0.643448770046234
5.42076028509086E-9,1.2670521736145,1.26718902587891,0.542716860771179
5.46749090446497E-9,1.13200187683105,1.13215088844299,0.513096690177917
5.51422196792828E-9,0.96370542049408,0.963827192783356,0.483476251363754
5.56095258730238E-9,0.771625578403473,0.771688103675842,0.491661578416824
5.60768320667648E-9,0.568310379981995,0.568298697471619,0.499846905469894
5.65441382605059E-9,0.367069214582443,0.366993367671967,0.510456919670105
5.70114444542469E-9,0.180003345012665,0.179891273379326,0.521066904067993
5.74787506479879E-9,0.0156325027346611,0.0155193209648132,0.506440401077271
5.79460568417289E-9,-0.123076543211937,-0.123161457479,0.491813868284225
5.84133674763621E-9,-0.236152395606041,-0.236198991537094,0.437773674726486
5.88806736701031E-9,-0.324306488037109,-0.324324190616608,0.383733987808228
5.93479798638441E-9,-0.38829630613327,-0.388308435678482,0.306330859661102
5.98152860575851E-9,-0.428522884845734,-0.428553909063339,0.228927701711655
6.02825922513262E-9,-0.445962488651276,-0.44602307677269,0.158600926399231
6.07498984450672E-9,-0.442879557609558,-0.442961513996124,0.0882741659879684
6.12172090797003E-9,-0.422391355037689,-0.422472149133682,0.0404117070138454
6.16845152734413E-9,-0.38810858130455,-0.388162970542908,-0.00745029980316758
6.21518214671823E-9,-0.343486815690994,-0.343501389026642,-0.0400984771549702
6.26191276609234E-9,-0.291296094655991,-0.291275858879089,-0.0727466568350792
6.30864338546644E-9,-0.233678579330444,-0.233643680810928,-0.0910820215940475
6.35537400484054E-9,-0.172231376171112,-0.172206535935402,-0.109417386353016
6.40210506830385E-9,-0.10879085958004,-0.108790919184685,-0.115526616573334
6.44883568767796E-9,-0.0460858158767223,-0.0461080707609653,-0.121635787189007
6.49556630705206E-9,0.0130058489739895,0.0129787772893906,-0.117420420050621
6.54229692642616E-9,0.0661187022924423,0.066108874976635,-0.113205052912235
6.58902754580026E-9,0.111459225416183,0.111480392515659,-0.101964756846428
6.63575816517437E-9,0.147797241806984,0.147847279906273,-0.0907244682312012
6.68248922863768E-9,0.174555316567421,0.174617677927017,-0.0750282034277916
6.72921984801178E-9,0.19192011654377,0.191972613334656,-0.0593320913612843
6.77595046738588E-9,0.200507774949074,0.200534403324127,-0.0419034734368324
6.82268108675999E-9,0.201048612594604,0.201047241687775,-0.0244748536497355
6.86941170613409E-9,0.194307968020439,0.194290518760681,-0.00836348813027143
6.91614232550819E-9,0.181046918034554,0.181032121181488,0.00774787645787001
6.9628733889715E-9,0.162133187055588,0.162135899066925,0.0202728025615215
7.0096040083456E-9,0.138621911406517,0.138645425438881,0.0327976085245609
7.05633462771971E-9,0.111732952296734,0.11176773160696,0.0406039245426655
7.10306524709381E-9,0.0828346014022827,0.0828640162944794,0.04841024056077
7.14979586646791E-9,0.0533221065998077,0.0533318035304546,0.051547959446907
7.19652648584201E-9,0.0245178118348122,0.0245031677186489,0.0546856746077538
7.24325754930533E-9,-0.00243912870064378,-0.00247090449556708,0.0534969419240952
7.28998816867943E-9,-0.0266818162053823,-0.0267160013318062,0.0523082241415977
7.33671878805353E-9,-0.0475835539400578,-0.0476059950888157,0.0474478453397751
7.38344940742763E-9,-0.0647280588746071,-0.0647323131561279,0.0425874702632427
7.43018002680174E-9,-0.0778699070215225,-0.0778599828481674,0.0354389771819115
7.47691064617584E-9,-0.0869027748703957,-0.0868900939822197,0.0282904841005802
7.52364126554994E-9,-0.091856487095356,-0.0918531343340874,0.0203526318073273
7.57037188492404E-9,-0.092891663312912,-0.092903770506382,0.0124147804453969
7.61710250429815E-9,-0.0902914777398109,-0.0903161987662315,0.0051136827096343
7.66383401185067E-9,-0.0844539031386375,-0.084481380879879,-0.00218755402602255
7.71056463122477E-9,-0.0758786648511887,-0.0758975967764854,-0.00808218400925398
7.75729525059887E-9,-0.0651580542325974,-0.0651617050170898,-0.0139768132939935
7.80402586997297E-9,-0.0529202260077,-0.0529096648097038,-0.0177462063729763
7.85075648934708E-9,-0.0397818982601166,-0.0397648848593235,-0.0215156003832817
7.89748710872118E-9,-0.0263330899178982,-0.0263195428997278,-0.0231264531612396
7.94421772809528E-9,-0.0131261106580496,-0.0131227420642972,-0.0247373078018427
7.99094834746938E-9,-0.000642197555862367,-0.00064925680635497,-0.0242747217416763
8.03767896684349E-9,0.0107383150607347,0.010726629756391,-0.02381213568151
8.08440958621759E-9,0.0207115560770035,0.0207035336643457,-0.0216926634311676
8.13114020559169E-9,0.0290251988917589,0.0290269423276186,-0.0195731893181801
8.17787082496579E-9,0.035498633980751,0.0355108641088009,-0.0164099019020796
8.22460233251832E-9,0.0400415174663067,0.0400594659149647,-0.0132465548813343
8.27133295189242E-9,0.0426482558250427,0.0426644459366798,-0.00969324726611376
8.31806357126652E-9,0.0433908253908157,0.043399129062891,-0.00613993965089321
8.36479419064062E-9,0.0424072407186031,0.0424059666693211,-0.0027593388222158
8.41152481001473E-9,0.0398942679166794,0.0398866832256317,0.000621262181084603
8.45825542938883E-9,0.0360910482704639,0.0360832624137402,0.00341074750758708
8.50498604876293E-9,0.0312640629708767,0.0312615483999252,0.00620023300871253
8.55171666813703E-9,0.0256917923688889,0.025696499273181,0.00808763969689608
8.59844728751114E-9,0.019651873037219,0.0196614377200603,0.00997504685074091
8.64517790688524E-9,0.0134136332198977,0.0134229185059667,0.0108128469437361
8.69190852625934E-9,0.00723246484994888,0.00723650306463242,0.0116506479680538
8.73863914563344E-9,0.00133974873460829,0.00133640225976706,0.0115029010921717
8.78537065318596E-9,-0.00406457623466849,-0.00407363474369049,0.0113551514223218
8.83210127256007E-9,-0.00881763827055693,-0.00882801879197359,0.0104179121553898
8.87883189193417E-9,-0.0127979209646583,-0.012804982252419,0.00948067288845778
8.92556251130827E-9,-0.0159242823719978,-0.0159255657345057,0.00802545342594385
8.97229313068237E-9,-0.0181554425507784,-0.018151780590415,0.00657023396342993
9.01902375005648E-9,-0.0194879416376352,-0.019482746720314,0.00489405868574977
9.06575436943058E-9,-0.0199541375041008,-0.0199513733386993,0.00321788317523897
9.11248498880468E-9,-0.0196166001260281,-0.0196185950189829,0.00160202733241022
9.15921560817878E-9,-0.0185626782476902,-0.018568966537714,-1.38284513013787E-5
9.20594622755289E-9,-0.016898225992918,-0.0169059615582228,-0.00133360584732145
9.25267684692699E-9,-0.0147425048053265,-0.0147481085732579,-0.00265338318422437
9.29940746630109E-9,-0.0122219510376453,-0.0122230602428317,-0.00354061857797205
9.34613897385361E-9,-0.0094655342400074,-0.00946217030286789,-0.00442787073552608
9.39286959322772E-9,-0.00659887166693807,-0.00659327255561948,-0.00484270555898547
9.43960021260182E-9,-0.00373951229266822,-0.00373480608686805,-0.00525754038244486
9.48633083197592E-9,-0.000994284520857036,-0.000992778223007917,-0.00522118899971247
9.53306145135002E-9,0.00154308835044503,0.00154106272384524,-0.00518483715131879
9.57979207072412E-9,0.00379429012537003,0.00379040068946779,-0.00478152651339769
9.62652269009823E-9,0.00569827388972044,0.00569514650851488,-0.00437821540981531
9.67325330947233E-9,0.00721300207078457,0.00721273617818952,-0.00373022025451064
9.71998392884643E-9,0.00831635482609272,0.00831941794604063,-0.00308222486637533
9.76671454822053E-9,0.00900420360267162,0.00900926999747753,-0.00232488149777055
9.81344516759464E-9,0.00928856246173382,0.00929331593215466,-0.00156753801275045
9.86017578696874E-9,0.00919507537037134,0.00919749028980732,-0.000827458396088332
9.90690729452126E-9,0.00876122526824474,0.00876060780137777,-8.73647222761065E-5
9.95363791389536E-9,0.00803366769105196,0.00803092494606972,0.000537234358489513
1.00003685332695E-8,0.0070660705678165,0.00706311082467437,0.0011618334101513
