s,DDR3_A6_U5.R8_NoTerm,DDR3_A6_U4.R8_NoTerm,DDR3_A6_U2.J7_NoTerm
0,0.241387724876404,0.241458684206009,0.241417363286018
4.02559582890483E-11,0.241387724876404,0.241458684206009,0.241417363286018
8.05119165780965E-11,0.241390511393547,0.24145282804966,0.241417363286018
1.20767867928251E-10,0.241404220461845,0.241430193185806,0.241416767239571
1.61023833156193E-10,0.241426378488541,0.241398483514786,0.241416171193123
2.01279784506347E-10,0.241438463330269,0.241376951336861,0.241413354873657
2.41535735856502E-10,0.241434156894684,0.24136671423912,0.241410538554192
2.81791701084444E-10,0.241417303681374,0.241366431117058,0.241406992077827
3.22047666312386E-10,0.241391181945801,0.241379976272583,0.241403445601463
3.62303631540328E-10,0.2413669526577,0.241398677229881,0.241402849555016
4.02559569012695E-10,0.241354316473007,0.241412147879601,0.241402253508568
4.42815534240637E-10,0.241355299949646,0.241415470838547,0.24140277504921
4.83071471713004E-10,0.241367742419243,0.241407722234726,0.24140328168869
5.23327436940946E-10,0.241390153765678,0.24139204621315,0.241401821374893
5.63583402168888E-10,0.241410255432129,0.241375863552094,0.241400346159935
6.0383936739683E-10,0.24142087996006,0.241365909576416,0.241398066282272
6.44095332624772E-10,0.2414191365242,0.241366192698479,0.241395801305771
6.84351297852714E-10,0.241406381130219,0.241376727819443,0.241394728422165
7.24607263080657E-10,0.241388708353043,0.241393983364105,0.241393640637398
7.64863228308599E-10,0.241374045610428,0.241410091519356,0.241393998265266
8.0511913802539E-10,0.241368055343628,0.241419062018394,0.241394355893135
8.45375103253332E-10,0.241372868418694,0.241417661309242,0.241394430398941
8.85631068481274E-10,0.241386383771896,0.24140690267086,0.241394519805908
9.25887033709216E-10,0.241402804851532,0.241391837596893,0.241394534707069
9.66142943426007E-10,0.241415530443192,0.241379022598267,0.241394534707069
1.0063989641651E-9,0.241419777274132,0.241373553872108,0.241394236683846
1.04665487388189E-9,0.241414219141006,0.241377457976341,0.241393953561783
1.08691089462098E-9,0.241401523351669,0.241388738155365,0.241394460201263
1.12716680433778E-9,0.241387143731117,0.241402417421341,0.241394966840744
1.16742282507687E-9,0.241376921534538,0.241412818431854,0.24139516055584
1.20767873479366E-9,0.241374716162682,0.241415798664093,0.241395354270935
1.24793475553275E-9,0.241381034255028,0.241410419344902,0.241395339369774
1.28819066524954E-9,0.241392910480499,0.241399198770523,0.241395324468613
1.32844657496634E-9,0.241405263543129,0.241386950016022,0.241395354270935
1.36870259570543E-9,0.241413116455078,0.24137869477272,0.241395398974419
1.40895850542222E-9,0.241413488984108,0.241377621889114,0.241395190358162
1.44921452616131E-9,0.241406068205833,0.241383820772171,0.241394966840744
1.4894704358781E-9,0.241395235061646,0.24139441549778,0.24139529466629
1.5297264566172E-9,0.241384655237198,0.241404876112938,0.241395622491837
1.56998236633399E-9,0.241378858685493,0.241410911083221,0.241395220160484
1.61023827605078E-9,0.241379976272583,0.241410285234451,0.241394817829132
1.65049429678987E-9,0.241387143731117,0.241404384374619,0.241395577788353
1.69075020650666E-9,0.241397246718407,0.241393968462944,0.241396322846413
1.73100622724576E-9,0.241406142711639,0.241384953260422,0.241395816206932
1.77126213696255E-9,0.241410344839096,0.241380497813225,0.241395309567451
1.81151815770164E-9,0.241408288478851,0.241382151842117,0.241395235061646
1.85177406741843E-9,0.241401001811028,0.241389125585556,0.24139516055584
1.89203008815753E-9,0.241391777992249,0.241398334503174,0.241395309567451
1.93228588685201E-9,0.241384476423264,0.241405934095383,0.241395443677902
1.97254190759111E-9,0.241381913423538,0.241408944129944,0.247256755828857
2.0127979283302E-9,0.241384878754616,0.241406306624413,0.253118067979813
2.05305394906929E-9,0.24139192700386,0.24139928817749,0.336895167827606
2.09330974776378E-9,0.241400048136711,0.241390988230705,0.420671790838242
2.13356576850288E-9,0.24156229197979,0.241540372371674,0.599274456501007
2.17382178924197E-9,0.242323443293571,0.242296531796455,0.777877151966095
2.21407780998106E-9,0.246199533343315,0.246165439486504,0.944583594799042
2.25433360867555E-9,0.259360045194626,0.259309351444244,1.11128914356232
2.29458962941465E-9,0.290076941251755,0.289988726377487,1.19888496398926
2.33484565015374E-9,0.348106205463409,0.347954958677292,1.28648066520691
2.37510144884823E-9,0.438650757074356,0.438441246747971,1.30173492431641
2.41535746958732E-9,0.557952284812927,0.5577152967453,1.31698930263519
2.45561349032641E-9,0.695405423641205,0.695207417011261,1.29334783554077
2.49586951106551E-9,0.834349632263184,0.834273517131805,1.26970624923706
2.53612530976E-9,0.959367454051971,0.959465801715851,1.22951698303223
2.57638133049909E-9,1.06082224845886,1.06109666824341,1.18932747840881
2.61663735123818E-9,1.13565599918365,1.13604032993317,1.15085589885712
2.65689314993267E-9,1.18783450126648,1.18821263313293,1.11238443851471
2.69714917067176E-9,1.22418761253357,1.2244393825531,1.09722459316254
2.73740519141086E-9,1.25181996822357,1.25186729431152,1.08206474781036
2.77766121214995E-9,1.27535581588745,1.27520072460175,1.09342730045319
2.81791701084444E-9,1.29528546333313,1.2950097322464,1.10478973388672
2.85817303158353E-9,1.30978226661682,1.3095155954361,1.1256992816925
2.89842905232263E-9,1.31600570678711,1.3158745765686,1.14660894870758
