s,DDR3_DQ03_U4.F8_NoTerm,DDR3_DQ03_U2.D3_NoTerm
0,0.000483560783322901,0.000483583455206826
1.07237788093961E-10,0.000483560783322901,0.000483583455206826
2.14475576187922E-10,0.000483560783322901,0.000483578507555649
3.21713378159671E-10,0.000483560783322901,0.000483571027871221
4.28951152375845E-10,0.000483561656437814,0.000483563781017438
5.36188926592018E-10,0.000483564304886386,0.00048356008483097
6.43426756319343E-10,0.000483565352624282,0.000483553158119321
7.50664530535516E-10,0.000483563431771472,0.000483553856611252
8.5790230475169E-10,0.000483560259453952,0.000483541749417782
9.65140078967863E-10,0.000483557669213042,0.000483555078972131
1.07237785318404E-9,0.000483554642414674,0.000483526673633605
1.17961573842251E-9,0.000483553187223151,0.000483576732221991
1.28685351263869E-9,0.00048354861792177,0.000483486510347575
1.39409128685486E-9,0.000483549549244344,0.000483649608213454
1.50132906107103E-9,0.000483542127767578,0.000483356270706281
1.60856683528721E-9,0.000483552081277594,0.000483886426081881
1.71580460950338E-9,0.000483532377984375,0.000482931878650561
1.82304249474186E-9,0.000483566982438788,0.000484653806779534
1.93028015793573E-9,0.000483504089061171,0.00048404250992462
2.0375179321519E-9,0.0366480052471161,0.000484653457533568
2.14475570636807E-9,0.410001009702682,0.000483157142298296
2.25199370262885E-9,0.796859323978424,0.00889648217707872
2.35923147684503E-9,0.882663130760193,0.119351051747799
2.4664692510612E-9,0.860388100147247,0.464090198278427
2.57370702527737E-9,0.847960770130157,0.974313795566559
2.68094479949355E-9,0.804866373538971,1.37608885765076
2.78818257370972E-9,0.833185851573944,1.57819640636444
2.89542034792589E-9,1.0427371263504,1.67118954658508
3.00265812214207E-9,1.3143892288208,1.70963597297668
3.10989589635824E-9,1.47276222705841,1.68561792373657
3.21713367057441E-9,1.536940574646,1.61173760890961
3.32437144479059E-9,1.57459354400635,1.53910958766937
3.43160921900676E-9,1.59181356430054,1.49559450149536
3.53884699322293E-9,1.57550406455994,1.46919977664948
3.64608498948371E-9,1.53895258903503,1.45033395290375
3.75332254165528E-9,1.51083493232727,1.44425666332245
3.86056031587145E-9,1.49660933017731,1.45466589927673
3.96779809008763E-9,1.48570311069489,1.47279739379883
4.0750358643038E-9,1.47664391994476,1.48754167556763
4.18227363851997E-9,1.47475051879883,1.4973691701889
4.28951141273615E-9,1.48093676567078,1.50503718852997
4.39674963104153E-9,1.48892939090729,1.51012575626373
4.5039874052577E-9,1.49417781829834,1.51079738140106
4.61122517947388E-9,1.49785661697388,1.50775337219238
4.71846295369005E-9,1.50131285190582,1.50388193130493
4.82570072790622E-9,1.50349223613739,1.50081038475037
4.9329385021224E-9,1.50336456298828,1.49828994274139
5.04017627633857E-9,1.42717778682709,1.49618971347809
5.14741405055474E-9,1.0384601354599,1.49504435062408
5.25465182477092E-9,0.671071887016296,1.4788271188736
5.36188959898709E-9,0.632067739963531,1.34693872928619
5.46912737320326E-9,0.645130813121796,0.971134066581726
5.57636514741944E-9,0.662902653217316,0.464329689741135
5.68360292163561E-9,0.699880003929138,0.103475376963615
5.79084069585178E-9,0.650452435016632,-0.0736142843961716
5.89807847006796E-9,0.43453723192215,-0.164248868823051
6.00531624428413E-9,0.178282186388969,-0.199043586850166
6.1125540185003E-9,0.0370610356330872,-0.167086750268936
6.21979179271648E-9,-0.0359347574412823,-0.0859300568699837
6.32702956693265E-9,-0.0814506784081459,-0.0142166670411825
6.43426734114882E-9,-0.0978540331125259,0.0242301505059004
6.541505115365E-9,-0.0765605568885803,0.0402050949633121
6.64874288958117E-9,-0.0332060270011425,0.0462090596556664
6.75598066379735E-9,-0.00312054180540144,0.0421492904424667
6.86321843801352E-9,0.0126551818102598,0.0265218317508698
6.97045621222969E-9,0.0186310634016991,0.00848738290369511
7.07769398644587E-9,0.0225614886730909,-0.00245948019437492
7.18493220475125E-9,0.0201542340219021,-0.00681529240682721
7.29216997896742E-9,0.0114469164982438,-0.00848140381276608
7.3994077531836E-9,0.00313981319777668,-0.00872943364083767
7.50664508331056E-9,-0.00143609941005707,-0.00633498933166265
7.61388285752673E-9,-0.00274388142861426,-0.00238486565649509
7.72112063174291E-9,-0.00378112145699561,0.000583086744882166
7.82835840595908E-9,-0.00398956332355738,0.0018129771342501
7.93559618017525E-9,-0.0025509602855891,0.00218641432002187
8.04283395439143E-9,-0.000521284935530275,0.00240651913918555
8.1500717286076E-9,0.000645945023279637,0.00215194025076926
8.25730950282377E-9,0.00109645829070359,0.00138455280102789
8.36454727703995E-9,0.00124929379671812,0.000614329532254487
8.47178505125612E-9,0.00143502291757613,0.000222081725951284
8.57902282547229E-9,0.00126245571300387,0.000136805727379397
8.68626148786689E-9,0.000833825266454369,9.7568248747848E-5
8.79349926208306E-9,0.000478826899779961,9.6933486929629E-5
8.90073703629923E-9,0.000354767398675904,0.000229636105359532
9.00797481051541E-9,0.000337972771376371,0.00040798302507028
9.11521258473158E-9,0.000296564190648496,0.000519630266353488
9.22245035894775E-9,0.000295144913252443,0.000549096206668764
9.32968813316393E-9,0.000376783922547475,0.000556298589799553
9.4369259073801E-9,0.000465457153040916,0.000565043417736888
9.54416368159627E-9,0.00050597736844793,0.000549333461094648
9.65140145581245E-9,0.000510108075104654,0.000511302263475955
9.75863923002862E-9,0.00051707454258576,0.000481303402921185
9.86587700424479E-9,0.000524735543876886,0.000471227249363437
9.97311477846097E-9,0.000513400766067207,0.000470052036689594
1.00803525526771E-8,0.000492441235110164,0.000467470119474456
