s,DDR3_DQS0_P_U4.F3_NoTerm,DDR3_DQS0_P_U2.C2_NoTerm
0,0.438071519136429,0.438110262155533
5.09886126376369E-11,0.438071519136429,0.438110262155533
1.01977225275274E-10,0.438071519136429,0.438110321760178
1.52965848321251E-10,0.438071519136429,0.43811023235321
2.03954450550548E-10,0.438071519136429,0.43811023235321
2.54943066657631E-10,0.43807590007782,0.438109874725342
3.05931696642503E-10,0.438080281019211,0.438110083341599
3.56920298871799E-10,0.438084632158279,0.438109278678894
4.07908901101095E-10,0.43808901309967,0.4381103515625
4.58897531085967E-10,0.438092678785324,0.438109636306763
5.09886133315263E-10,0.438096344470978,0.438110053539276
5.60874735544559E-10,0.438100039958954,0.438107937574387
6.11863393285006E-10,0.438103705644608,0.438106745481491
6.62851995514302E-10,0.43810373544693,0.438105493783951
7.13840597743598E-10,0.43810373544693,0.438104450702667
7.64829199972894E-10,0.43810373544693,0.438103854656219
8.1581780220219E-10,0.438103765249252,0.438104510307312
8.66806459942637E-10,0.438104063272476,0.438102930784225
9.17795062171933E-10,0.438104331493378,0.43810299038887
9.68783719912381E-10,0.438104629516602,0.438102900981903
1.01977226663053E-9,0.438104897737503,0.438103079795837
1.07076092437097E-9,0.438104540109634,0.438102751970291
1.12174947108912E-9,0.438104212284088,0.438103377819061
1.17273812882956E-9,0.438103854656219,0.438102215528488
1.22372678657001E-9,0.438103497028351,0.438102573156357
1.27471533328816E-9,0.438103377819061,0.438102245330811
1.3257039910286E-9,0.438103258609772,0.438103139400482
1.37669253774675E-9,0.438103139400482,0.438101768493652
1.4276811954872E-9,0.438103020191193,0.438102334737778
1.47866985322764E-9,0.438102871179581,0.438101768493652
1.52965839994579E-9,0.438102722167969,0.438103288412094
1.58064705768624E-9,0.438102602958679,0.438103318214417
1.63163560440438E-9,0.438102453947067,0.438103318214417
1.68262426214483E-9,0.438102573156357,0.438103377819061
1.73361291988527E-9,0.438102692365646,0.438103318214417
1.78460146660342E-9,0.438102781772614,0.438103497028351
1.83559012434387E-9,0.438102900981903,0.438103258609772
1.88657867106201E-9,0.464208781719208,0.438103795051575
1.93756743982476E-9,0.490314781665802,0.438102841377258
1.98855598654291E-9,0.516420662403107,0.438104689121246
2.03954453326105E-9,0.542526543140411,0.438104242086411
2.0905330799792E-9,0.705245792865753,0.438104659318924
2.14152184874195E-9,0.867965757846832,0.441196203231812
2.19251039546009E-9,1.03068506717682,0.449319958686829
2.24349894217823E-9,1.19340431690216,0.460513234138489
2.29448771094098E-9,1.24700510501862,0.473554253578186
2.34547625765913E-9,1.30060577392578,0.505110144615173
2.39646480437727E-9,1.35420644283295,0.565632939338684
2.44745357314002E-9,1.4078072309494,0.643323659896851
2.49844211985817E-9,1.35214161872864,0.731304168701172
2.54943066657631E-9,1.29647588729858,0.820197284221649
2.60041943533906E-9,1.24080991744995,0.903050720691681
2.65140798205721E-9,1.18514430522919,0.98230516910553
2.70239652877535E-9,1.17961156368256,1.06002163887024
2.7533850754935E-9,1.17407882213593,1.12206876277924
2.80437384425625E-9,1.16854596138,1.16009950637817
2.85536239097439E-9,1.16301321983337,1.18398582935333
2.90635093769254E-9,1.15500950813293,1.19937634468079
2.95733970645529E-9,1.14700567722321,1.21085941791534
3.00832825317343E-9,1.13900184631348,1.22134053707123
