s,DDR3_DQ17_U5.F7_NoTerm,DDR3_DQ17_U2.T3_NoTerm
0,0.36549973487854,0.365540415048599
7.49347736639372E-11,0.36549973487854,0.365540415048599
1.49869547327874E-10,0.365505695343018,0.365540415048599
2.24804314052918E-10,0.365516781806946,0.365540087223053
2.99739094655749E-10,0.365524619817734,0.365539759397507
3.7467387525858E-10,0.365530341863632,0.365538775920868
4.49608628105835E-10,0.365533143281937,0.365537822246552
5.24543408708666E-10,0.365533113479614,0.365535825490952
5.99478189311498E-10,0.365533977746964,0.365533828735352
6.74412969914329E-10,0.365534424781799,0.365533232688904
7.4934775051716E-10,0.365535467863083,0.365532666444778
8.2428247560884E-10,0.365535914897919,0.365532755851746
8.99217256211671E-10,0.365535080432892,0.365532845258713
9.74152092325653E-10,0.365535348653793,0.365532755851746
1.04908681741733E-9,0.365533709526062,0.365532696247101
1.12402154250901E-9,0.365533828735352,0.365533113479614
1.198956378623E-9,0.365533530712128,0.36553356051445
1.27389110371467E-9,0.365533888339996,0.365533262491226
1.34882593982866E-9,0.365533143281937,0.36553293466568
1.42376066492034E-9,0.365534007549286,0.365533709526062
1.49869550103432E-9,0.36553230881691,0.365534514188766
1.573630226126E-9,0.365533024072647,0.36553430557251
1.64856495121768E-9,0.365532398223877,0.365534096956253
1.72349978733166E-9,0.365534126758575,0.365534365177155
1.79843451242334E-9,0.365533590316772,0.365534603595734
1.87336923751502E-9,0.36553418636322,0.365534067153931
1.94830418465131E-9,0.365533202886581,0.365533530712128
2.02323890974299E-9,0.398168623447418,0.365533709526062
2.09817363483467E-9,0.640406370162964,0.365533918142319
2.17310835992635E-9,1.00882184505463,0.369219809770584
2.24804308501803E-9,1.21747410297394,0.372905701398849
2.32297803215431E-9,1.25829374790192,0.448654532432556
2.39791275724599E-9,1.2489048242569,0.524403154850006
2.47284748233767E-9,1.24658441543579,0.676471590995789
2.54778220742935E-9,1.20641922950745,0.828540027141571
2.62271715456563E-9,1.13502550125122,0.937699258327484
2.69765187965731E-9,1.07080364227295,1.04685819149017
2.77258660474899E-9,1.00850319862366,1.08635544776917
2.84752132984067E-9,0.994567155838013,1.12585258483887
2.92245605493235E-9,1.02339971065521,1.14257323741913
2.99739100206864E-9,1.05299091339111,1.15929388999939
3.07232572716032E-9,0.901907444000244,1.16316962242126
3.147260452252E-9,0.548498451709747,1.16704535484314
3.22219517734368E-9,0.281139314174652,1.13919520378113
3.29712990243536E-9,0.229964569211006,1.11134517192841
3.37206484957164E-9,0.248171925544739,0.995736837387085
3.44699957466332E-9,0.26559391617775,0.880128860473633
3.521934299755E-9,0.293686956167221,0.727041065692902
3.59686902484668E-9,0.350874304771423,0.57395327091217
3.67180397198297E-9,0.435731589794159,0.495214194059372
3.74673847503004E-9,0.487353086471558,0.416475594043732
3.82167320012172E-9,0.513178110122681,0.391490638256073
3.89660836930261E-9,0.502888798713684,0.366505563259125
3.97154309439429E-9,0.457905232906342,0.354112505912781
4.04647781948597E-9,0.427376955747604,0.341719448566437
4.12141254457765E-9,0.404579102993011,0.342855513095856
4.19634726966933E-9,0.390674561262131,0.343991547822952
4.27128199476101E-9,0.385493814945221,0.351781576871872
4.34621671985269E-9,0.377322763204575,0.359571605920792
4.42115144494437E-9,0.367764621973038,0.36301851272583
4.49608617003605E-9,0.361590027809143,0.366465389728546
4.57102133921694E-9,0.35814842581749,0.366737544536591
4.64595606430862E-9,0.358029544353485,0.367009669542313
4.7208907894003E-9,0.361151665449142,0.36734539270401
4.79582551449198E-9,0.36307218670845,0.36768114566803
4.87076023958366E-9,0.364399045705795,0.367459714412689
4.94569496467534E-9,0.364965230226517,0.367238253355026
5.02062968976702E-9,0.36479452252388,0.367238253355026
