s,DDR3_DQS2_P_U5.F3_NoTerm,DDR3_DQS2_P_U2.N2_NoTerm
6.37731822905607E-9,0.373284459114075,0.361655622720718
6.44444764219543E-9,0.363564968109131,0.362921267747879
6.51157749942399E-9,0.361098080873489,0.363707661628723
6.57870691256335E-9,0.358631193637848,0.3646280169487
6.64583676979191E-9,0.360980123281479,0.366005063056946
6.71296662702048E-9,0.36332905292511,0.367033094167709
6.78009604015983E-9,0.363842695951462,0.367283642292023
6.8472258973884E-9,0.364356368780136,0.367030113935471
6.91435531052775E-9,0.364115834236145,0.366418838500977
6.98148516775632E-9,0.363875269889832,0.365899354219437
7.04861458089567E-9,0.364676713943481,0.365709602832794
7.11574443812424E-9,0.365478187799454,0.365683943033218
7.1828742953528E-9,0.365843415260315,0.365733712911606
7.25000370849216E-9,0.366208612918854,0.365728497505188
7.31713356572072E-9,0.365919291973114,0.36559933423996
7.38426297886008E-9,0.365630000829697,0.365468978881836
7.45139239199943E-9,0.365571647882462,0.365402817726135
7.51852269331721E-9,0.365513294935226,0.365400820970535
7.58565210645656E-9,0.365609973669052,0.365462720394135
7.65278151959592E-9,0.365706652402878,0.365521401166916
7.71991182091369E-9,0.365642607212067,0.365541160106659
7.78704123405305E-9,0.365578591823578,0.36553755402565
7.8541706471924E-9,0.365518569946289,0.365518897771835
7.92130006033176E-9,0.365458548069,0.365508228540421
7.98843036164953E-9,0.365493029356003,0.365517824888229
8.05555977478889E-9,0.365527510643005,0.365532517433167
8.12268918792824E-9,0.365539789199829,0.365544199943542
8.18981948924602E-9,0.365552067756653,0.365548014640808
8.25694890238537E-9,0.365534543991089,0.365541458129883
8.32407831552473E-9,0.365516990423203,0.365533977746964
8.39120772866409E-9,0.365520507097244,0.365530639886856
8.45833802998186E-9,0.365524053573608,0.365530788898468
8.52546744312122E-9,0.365533351898193,0.365533828735352
8.59259685626057E-9,0.365542620420456,0.365536421537399
8.65972626939993E-9,0.365538895130157,0.365536153316498
8.7268565707177E-9,0.365535169839859,0.365535080432892
8.79398598385706E-9,0.365532487630844,0.365533053874969
8.86111539699641E-9,0.365529805421829,0.365532040596008
8.92824569831419E-9,0.365532428026199,0.365532636642456
8.99537511145354E-9,0.365535020828247,0.365532666444778
9.0625045245929E-9,0.365535259246826,0.365533620119095
9.12963393773225E-9,0.365535467863083,0.365532517433167
9.19676423905003E-9,0.365533828735352,0.365532875061035
9.26389365218938E-9,0.365532219409943,0.365532338619232
9.33102306532874E-9,0.365532517433167,0.365533590316772
9.39815336664651E-9,0.36553281545639,0.365533530712128
9.46528277978587E-9,0.365533113479614,0.365533769130707
9.53241219292522E-9,0.365533441305161,0.365533530712128
9.59954160606458E-9,0.365533471107483,0.365534007549286
9.66667190738235E-9,0.365533500909805,0.365533083677292
9.73380132052171E-9,0.365533530712128,0.365534663200378
9.80093073366106E-9,0.365533590316772,0.365534037351608
9.86806103497884E-9,0.365533828735352,0.365534663200378
9.93519044811819E-9,0.365534067153931,0.365533113479614
1.00023198612575E-8,0.365534067153931,0.365533322095871
