s,DDR3_A2_U5.P3_NoTerm,DDR3_A2_U4.P3_NoTerm,DDR3_A2_U2.K4_NoTerm
0,0.241387724876404,0.241458684206009,0.241417989134789
4.70122760165559E-11,0.241387724876404,0.241458684206009,0.241417989134789
9.40245520331118E-11,0.241396650671959,0.241444304585457,0.241417989134789
1.41036834988562E-10,0.241418808698654,0.241411939263344,0.241416975855827
1.88049104066224E-10,0.241438210010529,0.241384953260422,0.241415977478027
2.35061387021673E-10,0.241439193487167,0.241373181343079,0.241411954164505
2.82073669977123E-10,0.241416975855827,0.241374015808105,0.241407915949821
3.29085925176997E-10,0.241385996341705,0.241385966539383,0.24140439927578
3.76098208132447E-10,0.241361662745476,0.241403356194496,0.241400867700577
4.23110491087897E-10,0.241354152560234,0.241411358118057,0.241401523351669
4.70122774043347E-10,0.241364300251007,0.241405755281448,0.241402179002762
5.17135056998796E-10,0.241386219859123,0.241390570998192,0.241402417421341
5.64147339954246E-10,0.241408452391624,0.241375744342804,0.24140265583992
6.11159622909696E-10,0.241419300436974,0.241369768977165,0.241399824619293
6.58171850353995E-10,0.241413876414299,0.241375222802162,0.241396993398666
7.05184133309444E-10,0.241397053003311,0.241389349102974,0.241395115852356
7.52196416264894E-10,0.241379007697105,0.241404324769974,0.241393223404884
7.99208699220344E-10,0.24136982858181,0.241412296891212,0.241393432021141
8.46220982175794E-10,0.241374388337135,0.241410002112389,0.241393640637398
8.93233265131244E-10,0.241389200091362,0.241399273276329,0.241394490003586
9.40245548086693E-10,0.241405785083771,0.241386622190475,0.241395324468613
9.87257831042143E-10,0.241415530443192,0.241379410028458,0.24139541387558
1.03427011399759E-9,0.241413906216621,0.241381391882896,0.241395503282547
1.08128239695304E-9,0.241402804851532,0.24139116704464,0.241394639015198
1.12829467990849E-9,0.241388767957687,0.241402849555016,0.24139378964901
1.17530696286394E-9,0.241379499435425,0.241409987211227,0.241393968462944
1.22231924581939E-9,0.241379588842392,0.241408988833427,0.241394147276878
1.26933141775254E-9,0.241388097405434,0.241401940584183,0.24139466881752
1.31634370070799E-9,0.241400167346001,0.241390511393547,0.241395190358162
1.36335598366344E-9,0.241408973932266,0.241383090615273,0.241395592689514
1.41036826661889E-9,0.241410002112389,0.241382598876953,0.241395995020866
1.45738054957434E-9,0.241403087973595,0.24138967692852,0.241395235061646
1.50439283252979E-9,0.241392508149147,0.241398677229881,0.241394490003586
1.55140511548524E-9,0.241384297609329,0.241405591368675,0.241394728422165
1.59841739844069E-9,0.241382598876953,0.241406425833702,0.241394951939583
1.64542968139614E-9,0.24138768017292,0.241400107741356,0.241394966840744
1.69244196435159E-9,0.241396382451057,0.241392686963081,0.241394966840744
1.73945424730704E-9,0.24140353500843,0.241386413574219,0.241395369172096
1.78646653026249E-9,0.241405308246613,0.241385117173195,0.241395771503448
1.83347881321794E-9,0.241401433944702,0.24138917028904,0.241395235061646
1.88049109617339E-9,0.241394400596619,0.241396099328995,0.241394698619843
1.92750326810653E-9,0.241388157010078,0.241402015089989,0.241394892334938
1.97451566208429E-9,0.241385981440544,0.241403698921204,0.241395086050034
2.02152783401743E-9,0.24138879776001,0.241400569677353,0.298955857753754
2.06854022799519E-9,0.241394773125648,0.241394698619843,0.356516897678375
2.11555239992833E-9,0.241400435566902,0.241389334201813,0.532527327537537
2.16256479390609E-9,0.241402715444565,0.24138730764389,0.70853853225708
2.20957696583923E-9,0.244748890399933,0.244731768965721,0.903812646865845
2.25658935981699E-9,0.254485040903091,0.254469901323318,1.09908771514893
2.30360153175013E-9,0.283703297376633,0.283666968345642,1.1942675113678
2.35061392572788E-9,0.343727290630341,0.343660354614258,1.28944766521454
2.39762609766103E-9,0.441107571125031,0.440998941659927,1.3016664981842
